country_origin,hs_code,hs_description,period_value,ytd_value,share_of_total,period_value_teu,ytd_value_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,share_of_total_shipment,period_value_container,ytd_value_container,share_of_total_container,period_value_vrac,ytd_value_vrac,share_of_total_vrac
ARGENTINA,0203,"Meat of swine; fresh, chilled or frozen",84443.3,84443.3,0.0020637801076647663,6.0,6.0,0.005912728132760455,3,3,0.00690894016857814,3,3,0.005105687736138058,0,0,0.0
ARGENTINA,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",185905.0,185905.0,0.00454348706073091,14.25,14.25,0.014042729315306082,6,6,0.01381788033715628,7,7,0.011913271384322134,0,0,0.0
ARGENTINA,0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",166970.02000000002,166970.02000000002,0.0040807193211585555,7.0,7.0,0.006898182821553865,1,1,0.0023029800561927133,7,7,0.011913271384322134,0,0,0.0
ARGENTINA,1515,"Fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined; but not chemically modified",138520.0,138520.0,0.0033854055977646947,10.0,10.0,0.009854546887934093,1,1,0.0023029800561927133,5,5,0.008509479560230097,0,0,0.0
ARGENTINA,1704,"Sugar confectionery (including white chocolate), not containing cocoa",7030.45,7030.45,0.0001718230203927577,1.0,1.0,0.0009854546887934092,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
ARGENTINA,2106,Food preparations not elsewhere specified or included,687687.98,687687.98,0.01680697904279162,34.0,34.0,0.03350545941897592,9,9,0.02072682050573442,30,30,0.05105687736138058,0,0,0.0
ARGENTINA,2401,"Tobacco, unmanufactured; tobacco refuse",38174.4,38174.4,0.0009329759417507115,4.5,4.5,0.004434546099570342,1,1,0.0023029800561927133,2,2,0.0034037918240920387,0,0,0.0
ARGENTINA,2807,Sulphuric acid; oleum,55800.0,55800.0,0.001363742653445495,4.0,4.0,0.003941818755173637,1,1,0.0023029800561927133,2,2,0.0034037918240920387,0,0,0.0
ARGENTINA,2918,"Acids; carboxylic acid with additional oxygen function and their anhydrides, halides, peroxides, peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",55800.0,55800.0,0.001363742653445495,4.0,4.0,0.003941818755173637,1,1,0.0023029800561927133,2,2,0.0034037918240920387,0,0,0.0
ARGENTINA,4809,"Carbon paper, self copy paper, and other copying or transfer papers (including coated or impregnated paper for duplicator stencils or offset plates), whether or not printed, in rolls or sheets",938478.03,938478.03,0.022936245857213277,76.75,76.75,0.07563364736489417,4,4,0.009211920224770853,35,35,0.05956635692161068,0,0,0.0
ARGENTINA,4902,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising material",80565.0,80565.0,0.0019689951052838045,6.75,6.75,0.006651819149355513,1,1,0.0023029800561927133,3,3,0.005105687736138058,0,0,0.0
ARGENTINA,7016,"Glass; paving blocks, slabs, bricks, tiles etc, of pressed, moulded glass, whether or not wired, glass smallwares for decorative purposes leaded lights and the like; multicellular or foam glass",158814.44,158814.44,0.0038813983120261713,7.0,7.0,0.006898182821553865,4,4,0.009211920224770853,7,7,0.011913271384322134,0,0,0.0
AUSTRALIA,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",24630.0,24630.0,0.0006019530744509416,2.25,2.25,0.002217273049785171,1,1,0.0023029800561927133,1,1,0.0017018959120460194,0,0,0.0
AUSTRALIA,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",22264.0,22264.0,0.0005441284307582527,5.25,5.25,0.0051736371161653985,4,4,0.009211920224770853,4,4,0.0068075836481840775,0,0,0.0
BANGLADESH,2401,"Tobacco, unmanufactured; tobacco refuse",212850.0,212850.0,0.00520201834741709,20.0,20.0,0.019709093775868186,3,3,0.00690894016857814,10,10,0.017018959120460194,0,0,0.0
