Port_of_Origin,Period_kg,Prior_kg,YoY_Pct_kg
ST CROIX,526378215.8,403620434.0,30.414164264042192
NEW ORLEANS - LA,385103034.64,292121830.66,31.829597866727248
HOUSTON - TX,302378010.38,287902502.38,5.027920174481118
ISKENDERUN,294238498.9,214997548.43,36.856676296380954
PORT EVERGLADES - FL,221830855.27,442749247.13,-49.89695483211831
RIO HAINA,193845627.12,63383056.37,205.83193399261447
HALONG,149162540.38,56999403.8,161.69140453360322
ALEXANDRIA,131725427.68,76052629.8,73.20298854412528
DARROW - LA,105826776.0,69057115.0,53.24528978657739
MIAMI - FL,86617335.81,79230948.09,9.322604232388656
ISTANBUL,79420020.43,126058787.63,-36.997632673488205
DAMIETTA,76358998.14,162288185.6,-52.948516949837654
NINGBO,72840115.5,42957543.11,69.56303882063428
TIANJIN,70446978.88,21284023.38,230.98525416109555
COLON,69995425.56,11644154.72,501.1207102888788
QASIM,63270722.62,117799327.11,-46.28940234869225
DUMAI,60903718.0,54317898.0,12.124585527959864
SAN PEDRO DE MACORIS,58239986.0,116450371.0,-49.987290293819676
CALLAO,56219320.85,45938315.09,22.380023603081604
QINGDAO,53225113.76,35514008.67,49.87075735260836
BUENAVENTURA,49804885.19,65432947.26,-23.88408703019501
ASBAS,43563590.0,40822096.24,6.715710393416087
KARACHI,42283281.0,25196458.89,67.81437893553144
PUERTO QUETZAL,42247385.91,28823509.24,46.57266593816041
PORT SAID,38837782.03,635156.5,6014.679142856918
SANTOS,38046243.58,48061359.6,-20.83818706618529
ALIAGA,33987959.14,17014582.38,99.75782173737962
MUNDRA,29581518.86,14935337.53,98.06394599774406
CAUCEDO,29249062.83,22116755.73,32.248432758722686
WILLEMSTAD,28936083.0,6271620.0,361.3813177456542
SHANGHAI,28315061.18,16383777.91,72.82376101251728
ROTTERDAM,27758365.939999998,21533777.07,28.906163789871524
NHAVA SHEVA,27190906.77,21031310.82,29.287741514154465
YANTIAN,26193380.67,14315998.5,82.96579641301305
MOBILE - AL,25522987.01,18562246.65,37.49944977700209
XIAMEN,25316853.69,18433413.44,37.34218989014332
PARANAGUA,24357707.64,18080366.95,34.71910004569902
PUERTO CORTES,24306955.61,30524177.39,-20.368187815724134
BELAWAN,23196213.45,27863246.12,-16.749780875854395
ACAJUTLA,22906015.93,22096639.31,3.662894654001578
NANSHA,19047705.87,8183666.73,132.75270729408112
ANTWERP,18581589.7,14709767.13,26.32144027694066
CARTAGENA,18047054.99,49808306.26,-63.766977146755124
LE HAVRE,15099094.49,16354563.31,-7.676565837941657
IZMIR,12456110.86,72473600.03999999,-82.81289896855523
NEW YORK,12409417.55,21898466.03,-43.332023654078746
SAVANNAH - GA,12038930.540000001,11674191.67,3.124317985435312
MANZANILLO - PA,11934571.88,4923718.47,142.38940452661586
KOLKATA,11149645.85,12526232.469999999,-10.98963014854537
PASIR GUDANG,11048168.7,524563.36,2006.1647729265726
KAOHSIUNG,10888272.8,11239033.22,-3.1209127434183337
JAKARTA,10449099.870000001,8885920.99,17.5916360471713
SUAPE,10091864.33,1256854.21,702.9462963727512
KUALA TANJUNG,9999422.0,8498844.0,17.6562600748996
ITAJAI,9987378.94,1431227.57,597.8190714981824
HONG KONG,9068396.61,495020.55,1731.923262579705
HAZIRA,8712536.23,11628389.16,-25.075295381669182
SANTO THOMAS,8466791.8,2943662.76,187.6277783940169
NORFOLK - VA,7347378.92,4118223.7800000003,78.41135675244922
HAIPHONG,7019382.72,10085429.18,-30.400753456086438
CORINTO,6872622.8,43596011.0,-84.23566137736776
HALDIA,5303640.4,283834.0,1768.5712071140174
PORT KLANG,5250187.59,6627240.93,-20.778682328665543
BUSAN,5055055.47,6177633.19,-18.17164738458679
RIO GRANDE,4937286.51,3501865.28,40.99018994814101
SURABAYA,4849728.3,6727960.29,-27.916811470954745
PARAMARIBO,4214500.0,0.0,0.0
WILMINGTON - NC,4181167.29,468470.79000000004,792.5139793667819
SAINT JOHN,3777189.03,2950896.55,28.00140452229679
ALTAMIRA,3746949.6,5743114.92,-34.7575374654004
HALIFAX,3728797.52,2663881.17,39.97612063153703
IMBITUBA,3620384.26,5658905.43,-36.02324151227245
VALENCIA,3593303.3,3483252.8,3.1594175421318837
MERSIN,3382856.79,3080095.79,9.829596890556445
DALIAN,3146465.32,1755976.0,79.18612327275542
SHEKOU,3029567.72,4035384.63,-24.924932868171222
BRIDGETOWN,3005103.0,0.0,0.0
HO CHI MINH,2992718.55,1470001.17,103.58613388042406
PUERTO MOIN,2938121.31,1952384.21,50.48888917207541
BUENOS AIRES,2598188.62,1220114.02,112.94637856878327
CHARLESTON - SC,2567004.13,2959889.43,-13.273647860555393
GDANSK,2538732.66,2598027.18,-2.282290210682092
VERACRUZ,2503308.69,2611509.82,-4.143240403361757
JEBEL ALI,2380036.65,4640840.07,-48.715391737255025
BILBAO,2319092.6,1080952.91,114.54150116493051
PERAWANG,1989283.24,0.0,0.0
PUERTO BARRIOS,1782179.08,9929170.37,-82.05107764708443
PORT OF SPAIN,1766175.81,1849081.09,-4.483593523743192
ITAPOA,1733212.63,1756966.41,-1.3519768997746535
JIUJIANG,1635249.41,737081.22,121.85471093674045
GEBZE,1582192.26,633752.51,149.6545946618815
SAMSUN,1563445.0,721590.0,116.66666666666667
KINGSTON,1555011.26,761145.64,104.29878045415855
PORT-AU-PRINCE,1509255.3800000001,95588.87,1478.9028367005492
BOSTON - MA,1467671.92,1058970.3,38.594247638484276
DAKAR,1458355.99,1114962.5,30.79865825083803
FUZHOU,1415949.75,669458.6,111.50669361779804
SAN ANTONIO,1403544.85,660001.34,112.65787884612479
