hs_chapter,n_flows,ytd_value_kg,n_anomalies,n_significant,ytd_value_teu
25,16,1065497553.8000001,7,0,0.0
27,24,772716863.47,7,0,0.0
10,9,694685871.33,4,0,0.0
99,38,283242080.34999996,4,0,0.0
17,18,177101990.12,6,0,0.0
15,17,124884376.4,5,0,0.0
20,56,106914624.58,5,0,0.0
40,38,74185561.27,5,0,0.0
21,32,68652666.09,2,0,0.0
73,36,49403340.98,5,0,0.0
72,14,48995633.839999996,6,0,0.0
69,14,47444020.76,3,0,0.0
44,18,45378086.720000006,4,0,0.0
38,22,44987674.25,2,0,0.0
87,49,44457071.989999995,5,0,0.0
63,19,38705868.199999996,3,0,0.0
70,25,37004936.97,3,0,0.0
39,48,27824986.09,1,0,0.0
22,36,23771783.65,3,0,0.0
16,5,21162358.16,2,0,0.0
85,62,19792876.240000002,4,0,0.0
48,47,16018537.98,0,0,0.0
11,9,15929112.360000001,1,0,0.0
28,34,15545211.51,0,0,0.0
34,18,15253226.17,3,0,0.0
30,42,14167472.91,1,0,0.0
84,66,13453624.06,4,0,0.0
33,36,13369989.56,0,0,0.0
56,11,12901407.31,1,0,0.0
19,20,12346982.21,1,0,0.0
64,5,10799225.06,1,0,0.0
32,15,8720247.48,2,0,0.0
96,13,8520329.89,1,0,0.0
29,18,8514677.54,0,0,0.0
94,19,5288514.92,2,0,0.0
71,6,4329317.58,0,0,0.0
67,6,3803878.6599999997,0,0,0.0
82,12,2001884.82,1,1,0.0
61,6,1939963.2999999998,0,0,0.0
68,7,1512712.09,0,0,0.0
35,3,1425130.79,0,0,0.0
62,5,1386879.7200000002,0,0,0.0
90,18,1285637.57,0,0,0.0
42,3,1097788.3599999999,0,0,0.0
36,1,1093985.12,0,0,0.0
54,3,1067768.86,0,0,0.0
76,7,1001950.21,0,0,0.0
49,13,918689.6900000001,1,0,0.0
24,5,892457.14,1,0,0.0
23,3,754514.53,0,0,0.0
83,5,508083.45,0,0,0.0
12,5,347234.98,0,0,0.0
52,4,319276.45999999996,0,0,0.0
31,1,290000.0,0,0,0.0
86,1,234341.13,1,0,0.0
95,4,201162.43,0,0,0.0
55,1,123452.42,0,0,0.0
91,1,62771.9,0,0,0.0
18,2,35875.96,0,0,0.0
66,1,27689.65,0,0,0.0
13,1,21835.0,0,0,0.0
60,2,14961.0,0,0,0.0
89,1,13840.2,0,0,0.0
81,1,13341.9,1,0,0.0
97,1,11227.0,0,0,0.0
58,1,3063.75,0,0,0.0
88,1,2149.0,0,0,0.0
