country,metric,current_value,prior_value,yoy_pct,share_current,share_prior,share_change_pp
CHINA,container,14835.0,8880.0,67.06,25.25,19.86,5.39
CHINA,teu,27073.0,16558.25,63.5,26.68,21.64,5.04
CHINA,shipment,8432.0,5153.0,63.63,19.42,16.02,3.4
CHINA,weight_kg,312393896.74,174823861.3700001,78.69,7.63,4.96,2.67
USA,shipment,22262.0,17317.0,28.56,51.27,53.82,-2.55
TURKEY,weight_kg,471654978.6799999,475523074.3999999,-0.81,11.53,13.48,-1.95
VIETNAM,weight_kg,160003221.89000002,69142493.89999999,131.41,3.91,1.96,1.95
USA,container,14713.0,10391.0,41.59,25.04,23.24,1.8
COLOMBIA,weight_kg,67996936.55999999,115294842.57,-41.02,1.66,3.27,-1.61
BRAZIL,container,3286.0,3210.0,2.37,5.59,7.18,-1.59
PANAMA,weight_kg,81971535.54000002,16142297.169999998,407.81,2.0,0.46,1.54
BRAZIL,teu,5968.5,5669.5,5.27,5.88,7.41,-1.53
COLOMBIA,container,2829.0,2830.0,-0.04,4.81,6.33,-1.52
PAKISTAN,weight_kg,105554003.61999999,142867311.34999996,-26.12,2.58,4.05,-1.47
US VIRGIN ISLANDS,weight_kg,526378215.8,403620434.0,30.41,12.86,11.45,1.41
USA,weight_kg,1170334598.3299997,1055675563.0200007,10.86,28.6,29.93,-1.33
COLOMBIA,teu,4479.0,4274.0,4.8,4.41,5.59,-1.18
DOMINICAN REPUBLIC,weight_kg,281334675.95000017,201267459.25999996,39.78,6.88,5.71,1.17
HONDURAS,container,996.0,1282.0,-22.31,1.7,2.87,-1.17
INDONESIA,container,1643.0,1770.0,-7.18,2.8,3.96,-1.16
NICARAGUA,weight_kg,6872622.800000001,43594611.0,-84.24,0.17,1.24,-1.07
FRANCE,vrac,0.0,110.0,-100.0,0.0,0.94,-0.94
FRANCE,shipment,673.0,773.0,-12.94,1.55,2.4,-0.85
HONDURAS,teu,1617.75,1843.0,-12.22,1.59,2.41,-0.82
USA,teu,27522.5,20178.25,36.4,27.12,26.37,0.75
PANAMA,container,937.0,374.0,150.53,1.59,0.84,0.75
EGYPT,weight_kg,246922207.85,238901346.9,3.36,6.03,6.77,-0.74
TRINIDAD AND TOBAGO,weight_kg,2676160.3,27757065.290000007,-90.36,0.07,0.79,-0.72
PAKISTAN,container,647.0,815.0,-20.61,1.1,1.82,-0.72
FRANCE,teu,1829.25,1904.75,-3.96,1.8,2.49,-0.69
PANAMA,teu,1689.0,740.75,128.01,1.66,0.97,0.69
INDONESIA,teu,2068.0,2065.75,0.11,2.04,2.7,-0.66
PERU,container,2553.0,2207.0,15.68,4.34,4.94,-0.6
NETHERLAND ANTILLES,weight_kg,28936083.0,6260820.0,362.18,0.71,0.18,0.53
PANAMA,shipment,685.0,347.0,97.41,1.58,1.08,0.5
DOMINICAN REPUBLIC,vrac,179.0,109.0,64.22,1.43,0.93,0.5
EL SALVADOR,container,87.0,284.0,-69.37,0.15,0.64,-0.49
FRANCE,container,870.0,872.0,-0.23,1.48,1.95,-0.47
GUYANA,container,39.0,236.0,-83.47,0.07,0.53,-0.46
PERU,teu,2955.5,2574.5,14.8,2.91,3.36,-0.45
HONDURAS,shipment,130.0,237.0,-45.15,0.3,0.74,-0.44
USA,vrac,11657.0,10877.0,7.17,93.41,92.97,0.44
PAKISTAN,teu,727.5,871.25,-16.5,0.72,1.14,-0.42
COLOMBIA,shipment,788.0,451.0,74.72,1.81,1.4,0.41
BRAZIL,shipment,1916.0,1534.0,24.9,4.41,4.77,-0.36
DOMINICAN REPUBLIC,shipment,1593.0,1064.0,49.72,3.67,3.31,0.36
MALAYSIA,weight_kg,16941655.209999997,26254187.649999995,-35.47,0.41,0.74,-0.33
TAIWAN,teu,664.0,741.0,-10.39,0.65,0.97,-0.32
EGYPT,teu,442.0,96.5,358.03,0.44,0.13,0.31
VIETNAM,container,532.0,547.0,-2.74,0.91,1.22,-0.31
GUYANA,teu,39.0,261.0,-85.06,0.04,0.34,-0.3
NICARAGUA,vrac,7.0,42.0,-83.33,0.06,0.36,-0.3
INDONESIA,weight_kg,112228489.55999997,106509001.39,5.37,2.74,3.02,-0.28
PANAMA,vrac,54.0,17.0,217.65,0.43,0.15,0.28
HONDURAS,weight_kg,24306955.61,30472073.73,-20.23,0.59,0.86,-0.27
DOMINICAN REPUBLIC,container,2219.0,1571.0,41.25,3.78,3.51,0.27
SURINAME,container,161.0,0.0,0.0,0.27,0.0,0.27
HAITI,teu,278.0,7.75,3487.1,0.27,0.01,0.26
EGYPT,container,239.0,65.0,267.69,0.41,0.15,0.26
SOUTH KOREA,teu,477.5,550.75,-13.3,0.47,0.72,-0.25
INDIA,shipment,1429.0,978.0,46.11,3.29,3.04,0.25
INDONESIA,shipment,417.0,388.0,7.47,0.96,1.21,-0.25
US VIRGIN ISLANDS,vrac,184.0,143.0,28.67,1.47,1.22,0.25
INDIA,weight_kg,86917912.41999997,66435997.830000006,30.83,2.12,1.88,0.24
