hs_code,hs_description,metric,total,rank
2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydr",weight_kg,1053492377.01,1
2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weigh",weight_kg,669836068.5,2
1006,Rice,weight_kg,477106042.72999996,3
9999,Commodities not specified according to kind,weight_kg,283759913.98999995,4
1001,Wheat and meslin,weight_kg,220742705.3,5
1701,"Cane or beet sugar and chemically pure sucrose, in solid form",weight_kg,175483153.19000003,6
1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",weight_kg,93262873.0,7
0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gal",weight_kg,87176687.19999999,8
2106,Food preparations not elsewhere specified or included,weight_kg,67238110.17999999,9
2711,Petroleum gases and other gaseous hydrocarbons,weight_kg,61594505.01,10
0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,weight_kg,61040296.59999999,11
6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite ",weight_kg,49261691.94000001,12
7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot",weight_kg,45741522.31,13
2709,Petroleum oils and oils obtained from bituminous minerals; crude,weight_kg,41237167.78,14
3824,Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or ,weight_kg,37156427.28,15
6309,Textiles; worn clothing and other worn articles,weight_kg,36760555.12,16
4407,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of ",weight_kg,26633403.860000003,17
0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",weight_kg,25044097.89,18
7308,"Structures of iron or steel and parts thereof; plates, rods, angles, shapes, sections, tubes and the",weight_kg,19117662.18,19
0203,"Meat of swine; fresh, chilled or frozen",weight_kg,17422509.450000003,20
1515,"Fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined; bu",weight_kg,15717485.59,21
8711,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars",weight_kg,14797768.309999999,22
2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solut,weight_kg,14458927.11,23
1516,"Animal or vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter-esterifi",weight_kg,14246618.399999999,24
3401,"Soap; organic surface-active preparations used as soap, skin washing, in bars, cakes, moulded pieces",weight_kg,14178348.640000002,25
4412,"Plywood, veneered panels and similar laminated wood",weight_kg,14095371.29,26
3901,"Polymers of ethylene, in primary forms",weight_kg,13899918.96,27
2203,Beer made from malt,weight_kg,13422617.28,28
5603,"Nonwovens; whether or not impregnated, coated, covered or laminated",weight_kg,13143273.85,29
7326,"Iron or steel; articles, n.e.c. in chapter 73",weight_kg,12368307.179999998,30
4011,"New pneumatic tyres, of rubber",weight_kg,11580667.560000002,31
1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,weight_kg,11390344.0,32
1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafe",weight_kg,10348540.660000002,33
1601,"Sausages and similar products of meat, meat offal or blood; food preparations based on these product",weight_kg,10258308.27,34
7010,"Carboys, bottles, flasks, jars, pots, phials, ampoules, containers of glass of a kind used for the c",weight_kg,10174117.75,35
6405,Footwear; other footwear n.e.c. in chapter 64,weight_kg,8922836.05,36
8702,Vehicles; public transport passenger type,weight_kg,8734607.999999998,37
3204,Synthetic organic colouring matter and preparations based thereon; synthetic organic products used a,weight_kg,8451698.1,38
3923,"Plastic articles for the conveyance or packing of goods; stoppers, lids, caps and other closures of ",weight_kg,8358780.249999999,39
0302,"Fish; fresh or chilled, excluding fish fillets and other fish meat of heading 0304",weight_kg,8305771.65,40
1107,Malt; whether or not roasted,weight_kg,8294597.0200000005,41
8506,Cells and batteries; primary,weight_kg,7941089.26,42
8703,Motor cars and other motor vehicles; principally designed for the transport of persons (other than t,weight_kg,7663713.059999999,43
8714,Vehicles; parts and accessories of heading no. 8711 to 8713,weight_kg,7435422.2700000005,44
1507,"Soya-bean oil and its fractions; whether or not refined, but not chemically modified",weight_kg,7288109.14,45
9619,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of an",weight_kg,7144028.300000001,46
7312,"Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel, not electrically",weight_kg,6983291.4799999995,47
4809,"Carbon paper, self copy paper, and other copying or transfer papers (including coated or impregnated",weight_kg,6978673.119999999,48
7225,"Alloy steel flat-rolled products, of a width 600mm or more",weight_kg,6725946.0200000005,49
1704,"Sugar confectionery (including white chocolate), not containing cocoa",weight_kg,6659188.100000001,50
9999,Commodities not specified according to kind,teu,22186.5,1
0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gal",teu,6609.25,2
1701,"Cane or beet sugar and chemically pure sucrose, in solid form",teu,6440.5,3
2106,Food preparations not elsewhere specified or included,teu,4859.5,4
0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,teu,3121.5,5
6309,Textiles; worn clothing and other worn articles,teu,3058.75,6
1006,Rice,teu,1888.5,7
6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite ",teu,1873.0,8
8711,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars",teu,1862.5,9
0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",teu,1831.5,10
5603,"Nonwovens; whether or not impregnated, coated, covered or laminated",teu,1706.25,11
4011,"New pneumatic tyres, of rubber",teu,1634.5,12
0203,"Meat of swine; fresh, chilled or frozen",teu,1399.5,13
3923,"Plastic articles for the conveyance or packing of goods; stoppers, lids, caps and other closures of ",teu,1368.25,14
1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",teu,1245.25,15
9619,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of an",teu,1222.0,16
1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafe",teu,1148.75,17
3401,"Soap; organic surface-active preparations used as soap, skin washing, in bars, cakes, moulded pieces",teu,1138.5,18
8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps",teu,1125.25,19
3901,"Polymers of ethylene, in primary forms",teu,1120.0,20
4819,"Cartons, boxes, cases, bags and the like, of paper, paperboard, cellulose wadding or fibres; box fil",teu,1107.0,21
7010,"Carboys, bottles, flasks, jars, pots, phials, ampoules, containers of glass of a kind used for the c",teu,1100.5,22
2203,Beer made from malt,teu,1045.75,23
6405,Footwear; other footwear n.e.c. in chapter 64,teu,1044.0,24
4412,"Plywood, veneered panels and similar laminated wood",teu,1033.75,25
2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weigh",teu,901.0,26
1601,"Sausages and similar products of meat, meat offal or blood; food preparations based on these product",teu,777.0,27
1515,"Fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined; bu",teu,733.0,28
1107,Malt; whether or not roasted,teu,672.0,29
0302,"Fish; fresh or chilled, excluding fish fillets and other fish meat of heading 0304",teu,631.75,30
8714,Vehicles; parts and accessories of heading no. 8711 to 8713,teu,609.25,31
