Country,Period_kg,Prior_kg,YTD_kg,Period_teu,Prior_teu,YTD_teu,Period_shipment,Prior_shipment,YTD_shipment,Period_container,Prior_container,YTD_container,Period_vrac,Prior_vrac,YTD_vrac,YoY_Change_kg,YoY_Pct_kg,YoY_Change_teu,YoY_Pct_teu,YoY_Change_shipment,YoY_Pct_shipment,YoY_Change_container,YoY_Pct_container,YoY_Change_vrac,YoY_Pct_vrac,Share_kg,Share_teu,Share_shipment,Share_container,Share_vrac
USA,1170334598.33,1252114752.6000001,1170334598.33,27522.5,20559.75,27522.5,22262,16807.0,22262,14713,10577.0,14713,11657,10441.0,11657,-81780154.27000022,-6.531362568820851,6962.75,33.86592735806612,5455.0,32.45671446421134,4136.0,39.10371560934102,1216.0,11.646394023560962,28.60278155099681,27.122176672316606,51.268942010962185,25.03999455393308,93.41293372866416
US VIRGIN ISLANDS,526378215.8,403620434.0,526378215.8,20.0,0.0,20.0,185,143.0,185,10,0.0,10,184,143.0,184,122757781.80000001,30.414164264042196,20.0,2000.0,42.0,29.37062937062937,10.0,1000.0,41.0,28.67132867132867,12.864595425286693,0.019709093775868186,0.42605131039565197,0.017018959120460194,1.4744771215642278
TURKEY,471654978.68,475523074.4,471654978.68,652.25,504.75,652.25,236,206.0,236,476,345.0,476,50,54.0,50,-3868095.719999969,-0.8134401731988737,147.5,29.22238732045567,30.0,14.563106796116505,131.0,37.971014492753625,-4.0,-7.407407407407407,11.527168676269564,0.6427628207655012,0.5435032932614804,0.8101024541339051,0.4006731308598445
CHINA,312393896.74,170669912.18,312393896.74,27073.0,16206.25,27073.0,8432,5063.0,8432,14835,8683.0,14835,28,26.0,28,141723984.56,83.03981806150361,10866.75,67.05283455457,3369.0,66.54157614062808,6152.0,70.85108833352528,2.0,7.6923076923076925,7.634854510042753,26.67921478970397,19.41872783381696,25.247625855202696,0.22437695328151294
DOMINICAN REPUBLIC,281334675.95,201267459.26,281334675.95,4281.25,3104.0,4281.25,1593,1064.0,1593,2219,1571.0,2219,179,109.0,179,80067216.69,39.78150118473354,1177.25,37.92686855670103,529.0,49.71804511278196,648.0,41.247612985359645,70.0,64.22018348623853,6.8757723563849735,4.218977886396783,3.6686472295149923,3.7765070288301166,1.4344098084782435
EGYPT,246922207.85,238901346.9,246922207.85,442.0,96.5,442.0,141,77.0,141,239,65.0,239,36,48.0,36,8020860.949999988,3.3573946124955847,345.5,358.03108808290153,64.0,83.11688311688312,174.0,267.6923076923077,-12.0,-25.0,6.034737400142994,0.4355709724466869,0.3247201879231726,0.4067531229789986,0.2884846542190881
VIETNAM,160003221.89000002,69142493.89999999,160003221.89000002,911.0,810.25,911.0,256,213.0,256,532,547.0,532,37,12.0,37,90860727.99000002,131.41083415563642,100.75,12.434433816723233,43.0,20.187793427230048,-15.0,-2.742230347349177,25.0,208.33333333333334,3.9104519422956443,0.8977492214907958,0.5895628943853346,0.9054086252084822,0.29649811683628496
INDONESIA,112228489.56000003,106509001.39,112228489.56,2068.0,2065.75,2068.0,417,388.0,417,1643,1770.0,1643,93,78.0,93,5719488.170000032,5.36995755791306,2.25,0.10891927871233208,29.0,7.474226804123711,-127.0,-7.175141242937853,15.0,19.23076923076923,2.742845486464776,2.0379202964247702,0.9603426834323615,2.7962149834916095,0.7452520233993108
PAKISTAN,105554003.62,142867311.35,105554003.62,727.5,871.25,727.5,110,93.0,110,647,815.0,647,49,56.0,49,-37313307.72999999,-26.117456384819125,-143.75,-16.499282639885223,17.0,18.27956989247312,-168.0,-20.613496932515336,-7.0,-12.5,2.5797221680740896,0.7169182860972052,0.2533278061811985,1.1011266550937744,0.39265966824264764
BRAZIL,96330739.1,88072801.78,96330739.1,5968.5,5669.5,5968.5,1916,1534.0,1916,3286,3210.0,3286,14,7.0,14,8257937.319999993,9.37626276569215,299.0,5.273833671399594,382.0,24.902216427640155,76.0,2.367601246105919,7.0,100.0,2.354307128111106,5.881686310063463,4.412509787665239,5.592429966983219,0.11218847664075647
INDIA,86917912.42,66435997.83,86917912.42,5695.0,4393.0,5695.0,1429,978.0,1429,3673,2815.0,3673,0,0.0,0,20481914.590000004,30.829543107654118,1302.0,29.638060550876393,451.0,46.11451942740286,858.0,30.47957371225577,0.0,0.0,2.124259220709569,5.612164452678466,3.2909585002993875,6.251063684945029,0.0
PANAMA,81971535.53999999,16142297.17,81971535.53999999,1689.0,740.75,1689.0,685,347.0,685,937,374.0,937,54,17.0,54,65829238.36999999,407.8058883238859,948.25,128.0121498481269,338.0,97.40634005763688,563.0,150.53475935828877,37.0,217.64705882352942,2.003370598285328,1.6644329693720683,1.5775413384920087,1.59467646958712,0.4327269813286321
COLOMBIA,67996936.56,115294842.57,67996936.56,4479.0,4274.0,4479.0,788,451.0,788,2829,2830.0,2829,1,9.0,1,-47297906.00999999,-41.02343604943438,205.0,4.796443612540945,337.0,74.72283813747228,-1.0,-0.0353356890459364,-8.0,-88.88888888888889,1.6618337399731076,4.41385155110568,1.8147482842798581,4.814663535178188,0.008013462617196892
PERU,57882630.85,48034572.47,57882630.849999994,2955.5,2574.5,2955.5,656,487.0,656,2553,2207.0,2553,0,0.0,0,9848058.380000003,20.50202150992519,381.0,14.79899009516411,169.0,34.70225872689939,346.0,15.677390122338016,0.0,0.0,1.4146418025767935,2.912511332728921,1.51075491686242,4.344940263453487,0.0
GUATEMALA,52503495.79,41071244.79999999,52503495.79000001,1721.0,1233.25,1721.0,201,152.0,201,1071,735.0,1071,36,24.0,36,11432250.99000001,27.83517043535046,487.75,39.54996959254004,49.0,32.23684210526316,336.0,45.714285714285715,12.0,50.0,1.2831766427207703,1.6959675194134574,0.4628989912947354,1.8227305218012866,0.2884846542190881
NETHERLAND ANTILLES,28936083.0,6260820.0,28936083.0,7.0,6.0,7.0,12,4.0,12,4,3.0,4,8,1.0,8,22675263.0,362.177206819554,1.0,16.666666666666668,8.0,200.0,1.0,33.333333333333336,7.0,700.0,0.707193021697833,0.006898182821553865,0.02763576067431256,0.0068075836481840775,0.06410770093757513
NETHERLANDS,27758365.939999998,21306346.259999998,27758365.939999998,1834.5,1396.5,1834.5,410,283.0,410,1303,1015.0,1303,0,0.0,0,6452019.68,30.282149746683036,438.0,31.364124597207304,127.0,44.87632508833922,288.0,28.374384236453203,0.0,0.0,0.678409814020191,1.8078166265915092,0.9442218230390125,2.2175703733959633,0.0
HONDURAS,24306955.61,30472073.73,24306955.61,1617.75,1843.0,1617.75,130,237.0,130,996,1282.0,996,0,0.0,0,-6165118.120000001,-20.23202678828646,-225.25,-12.22192078133478,-107.0,-45.14767932489451,-286.0,-22.308892355694226,0.0,0.0,0.5940579236695925,1.594219322795538,0.29938740730505276,1.6950883283978353,0.0
EL SALVADOR,22906015.93,22085164.88,22906015.93,127.0,286.0,127.0,22,18.0,22,87,284.0,87,6,3.0,6,820851.0500000007,3.716753098562336,-159.0,-55.59440559440559,4.0,22.22222222222222,-197.0,-69.36619718309859,3.0,100.0,0.5598191925491574,0.12515274547676297,0.05066556123623969,0.14806494434800369,0.048080775703181346
BELGIUM,18581589.7,14181044.23,18581589.7,1492.0,1151.5,1492.0,307,215.0,307,749,594.0,749,0,0.0,0,4400545.469999999,31.03118076940092,340.5,29.570125922709508,92.0,42.7906976744186,155.0,26.094276094276093,0.0,0.0,0.45413093983357494,1.4702983956797666,0.707014877251163,1.2747200381224684,0.0
FRANCE,16961077.15,18122723.96,16961077.15,1829.25,1900.25,1829.25,673,773.0,673,870,870.0,870,0,111.0,0,-1161646.8100000024,-6.409890767877713,-71.0,-3.736350480199974,-100.0,-12.936610608020699,0.0,0.0,-111.0,-100.0,0.4145258845490099,1.802642989475344,1.549905577817696,1.4806494434800368,0.0
MALAYSIA,16941655.21,26254187.65,16941655.21,477.0,415.0,477.0,140,129.0,140,358,346.0,358,12,23.0,12,-9312532.439999998,-35.47065544037124,62.0,14.939759036144578,11.0,8.527131782945736,12.0,3.468208092485549,-11.0,-47.82608695652174,0.4140512155886039,0.47006188655445624,0.32241720786697986,0.6092787365124749,0.09616155140636269
TAIWAN,11396045.389999999,11277965.44,11396045.389999999,664.0,741.0,664.0,75,56.0,75,617,576.0,617,0,0.0,0,118079.94999999925,1.0469969129467314,-77.0,-10.39136302294197,19.0,33.92857142857143,41.0,7.118055555555555,0.0,0.0,0.2785174404828656,0.6543419133588237,0.1727235042144535,1.050069777732394,0.0
HONG KONG,9068396.61,295054.8,9068396.61,39.0,29.0,39.0,24,15.0,24,20,15.0,20,4,0.0,4,8773341.809999999,2973.4618145510594,10.0,34.48275862068966,9.0,60.0,5.0,33.333333333333336,4.0,400.0,0.22163009418310992,0.038432732862942964,0.05527152134862512,0.03403791824092039,0.032053850468787566
SPAIN,8768998.01,7869496.64,8768998.01,647.0,556.25,647.0,207,156.0,207,444,381.0,444,0,0.0,0,899501.3700000001,11.43022751198481,90.75,16.314606741573034,51.0,32.69230769230769,63.0,16.53543307086614,0.0,0.0,0.21431284254866786,0.6375891836493358,0.4767168716318917,0.7556417849484326,0.0
CANADA,8074823.02,6495650.3100000005,8074823.02,1148.25,835.25,1148.25,502,387.0,502,578,407.0,578,0,6.0,0,1579172.709999999,24.311233435224732,313.0,37.47381023645615,115.0,29.71576227390181,171.0,42.01474201474201,-6.0,-100.0,0.19734732206805675,1.1315483464070322,1.156095988208742,0.9836958371625991,0.0
NICARAGUA,6872622.8,43594611.0,6872622.800000001,32.0,135.0,32.0,16,51.0,16,32,100.0,32,7,42.0,7,-36721988.2,-84.23515512043451,-103.0,-76.29629629629629,-35.0,-68.62745098039215,-68.0,-68.0,-35.0,-83.33333333333333,0.1679657500609679,0.031534550041389095,0.03684768089908341,0.05446066918547262,0.056094238320378235
MEXICO,6556781.98,6639070.99,6556781.98,700.75,650.75,700.75,225,185.0,225,379,349.0,379,2,1.0,2,-82289.00999999978,-1.239465734346663,50.0,7.68344218209758,40.0,21.62162162162162,30.0,8.595988538681949,1.0,100.0,0.16024665332381374,0.6905573731719815,0.5181705126433606,0.6450185506654413,0.016026925234393783
SOUTH KOREA,5055055.47,5827381.19,5055055.47,477.5,550.75,477.5,172,180.0,172,270,294.0,270,0,0.0,0,-772325.7200000007,-13.253392816061867,-73.25,-13.30004539264639,-8.0,-4.444444444444445,-24.0,-8.16326530612245,0.0,0.0,0.12354470896007105,0.47055461389885295,0.3961125696651467,0.4595118962524252,0.0
SURINAME,4214500.0,0.0,4214500.0,196.0,0.0,196.0,22,0.0,22,161,0.0,161,0,0.0,0,4214500.0,421450000.0,196.0,19600.0,22.0,2200.0,161.0,16100.0,0.0,0.0,0.10300167406713333,0.19314911900350823,0.05066556123623969,0.2740052418394091,0.0
