hs_chapter,ytd_value,ytd_value_teu,ytd_value_shipment,ytd_value_container,ytd_value_vrac,prev_year_value,prev_year_value_teu,prev_year_value_shipment,prev_year_value_container,prev_year_value_vrac,yoy_change_pct,share_of_total,yoy_change_pct_teu,share_of_total_teu,yoy_change_pct_shipment,share_of_total_shipment,yoy_change_pct_container,share_of_total_container,yoy_change_pct_vrac,share_of_total_vrac
25,1068708332.76,492.25,241,473,110,818534979.33,454.5,200.0,338.0,100.0,30.563550703083664,26.119052642964757,8.305830583058306,0.48509007055855574,20.5,0.555018193542444,39.94082840236686,0.8049967663977671,10.0,0.881480887891658
27,773501494.05,1158.0,643,586,291,759582314.86,947.0,555.0,461.0,299.0,1.8324780498036486,18.904246952326197,22.28088701161563,1.141156529622768,15.855855855855856,1.4808161761319147,27.114967462039047,0.9973110044589673,-2.6755852842809364,2.3319176216042954
10,700053594.15,2035.5,354,1807,164,788129130.5400001,2010.5,316.0,1800.0,142.0,-11.175267221711962,17.10919258136517,1.2434717731907485,2.0058930190389845,12.025316455696203,0.8152549398922205,0.3888888888888889,3.075325913067157,15.492957746478874,1.31420786922029
99,283759913.99,22186.5,15735,11241,5992,328916281.38000005,14530.0,10714.0,7157.0,4823.0,-13.728833124508808,6.935044767852832,52.694425326909844,21.863790452914976,46.86391637110323,36.23739118419235,57.06301522984491,19.131011947309304,24.238026124818578,48.01666800224377
17,182926092.49,7024.0,676,4705,55,231874162.42,8280.75,684.0,5880.0,69.0,-21.10975600694096,4.470683060156428,-15.176765389608429,6.921833734084907,-1.1695906432748537,1.5568145179862742,-19.982993197278912,8.00742026617652,-20.28985507246377,0.440740443945829
15,132946958.67000003,2256.5,686,1814,282,132978025.95,2222.0,914.0,1898.0,565.0,-0.023362717094065413,3.249201401149362,1.5526552655265526,2.223678505262328,-24.945295404814004,1.5798443185482014,-4.425711275026344,3.087239184451479,-50.08849557522124,2.2597964580495233
02,104838626.41999999,8026.75,2816,3880,1,68301384.65,5424.25,1979.0,2517.0,1.0,53.494145041465096,2.5622384691324687,47.97898326957644,7.909998423272498,42.29408792319353,6.485191838238681,54.15176797775129,6.603356138738555,0.0,0.008013462617196892
21,70568343.34,5126.5,1387,3479,17,80985649.04999998,5813.5,1453.0,3385.0,41.0,-12.863150239826325,1.7246784909631598,-11.817321751096586,5.051933462099413,-4.542326221610461,3.1942333379392935,2.7769571639586412,5.920895878008101,-58.53658536585366,0.13622886449234714
04,63433397.940000005,3346.0,646,2974,2,61228659.129999995,3210.75,569.0,2881.0,1.0,3.6008281764245944,1.550301620497484,4.212411430351164,3.2973313887027476,13.532513181019333,1.4877251163004928,3.2280458174245052,5.061438442424861,100.0,0.016026925234393783
72,62862871.08,804.25,166,644,19,15789309.75,265.5,73.0,200.0,6.0,298.13565048339115,1.5363580396028902,202.9190207156309,0.7925519334620994,127.3972602739726,0.38229468932799043,222.0,1.0960209673576364,216.66666666666666,0.15225578972674092
73,51206414.099999994,2393.0,619,1600,22,11359462.68,929.5,308.0,560.0,20.0,350.78200917158165,1.25147618347962,157.45024206562667,2.3581930702826286,100.97402597402598,1.4255446547832895,185.71428571428572,2.7230334592736307,10.0,0.1762961775783316
69,49706358.32,1940.25,359,1866,3,31826648.65,1281.75,228.0,1203.0,0.0,56.178424145829766,1.2148150714772286,51.37507314218841,1.9120284599314123,57.45614035087719,0.8267698401731841,55.11221945137157,3.175737771877872,300.0,0.024040387851590673
44,46768721.63,1693.0,264,830,31,21497040.06,561.25,135.0,273.0,26.0,117.55888950043668,1.1430197228306436,201.64810690423164,1.668374788127242,95.55555555555556,0.6079867348348763,204.02930402930403,1.412573606998196,19.23076923076923,0.24841734113310363
87,45934306.099999994,3830.75,5040,1922,3829,171226214.52,1729.0,2484.0,825.0,2195.0,-73.1733214865679,1.1226267470428597,121.5587044534413,3.7750305490953524,102.89855072463769,11.607019483211275,132.96969696969697,3.271043942952449,74.44191343963554,30.683548361246896
38,45481116.8,672.0,300,386,82,51533632.2,570.25,239.0,313.0,111.0,-11.744787125639489,1.1115508764605104,17.843051293292415,0.662225550869171,25.523012552301257,0.690894016857814,23.322683706070286,0.6569318220497634,-26.126126126126128,0.657103934610145
63,38920051.11,3227.5,1297,1522,36,30791807.650000002,2554.75,1059.0,1223.0,19.0,26.39742217277717,0.9511995299818222,26.333300714355612,3.1805550080807286,22.474032105760152,2.986965132881949,24.448078495502862,2.5902855781340413,89.47368421052632,0.2884846542190881
07,30070468.75,2203.75,663,1153,0,24706214.24,1798.0,506.0,972.0,1.0,21.71216706003923,0.7349172194171117,22.56674082313682,2.171695770428476,31.027667984189723,1.526875777255769,18.621399176954732,1.9622859865890603,-100.0,0.0
39,29376015.560000002,3217.0,835,1603,15,25872058.57,2630.0,648.0,1315.0,37.0,13.54340235632824,0.7179448997750995,22.319391634980988,3.1702077338483976,28.858024691358025,1.9229883469209157,21.901140684410645,2.728139147009769,-59.45945945945946,0.12020193925795336
22,24052249.88,1880.25,513,975,1,16035759.12,1285.5,271.0,662.0,7.0,49.991339356062866,0.587832958291851,46.266044340723454,1.8529011786038079,89.2988929889299,1.1814287688268619,47.2809667673716,1.6593485142448687,-85.71428571428571,0.008013462617196892
16,21706486.27,1372.0,538,874,0,18297144.02,1262.75,457.0,737.0,0.0,18.633193498796103,0.530502888581147,8.651752128291427,1.3520438330245574,17.72428884026258,1.2390032702316798,18.58887381275441,1.4874570271282208,0.0,0.0
85,20688863.47,2024.0,939,1207,143,18145433.2,1299.5,701.0,788.0,486.0,14.01691677440911,0.50563235780196,55.75221238938053,1.9945602901178603,33.951497860199716,2.162498272764958,53.17258883248731,2.0541883658395452,-70.57613168724279,1.1459251542591553
28,19590756.14,779.75,283,658,4,21199725.86,881.5,231.0,693.0,7.0,-7.589577953155659,0.4787947985908105,-11.542824730572887,0.7684082935866609,22.51082251082251,0.6517433559025378,-5.05050505050505,1.1198475101262806,-42.857142857142854,0.032053850468787566
48,19298980.01,2453.75,655,1219,25,14630273.78,1913.75,555.0,934.0,80.0,31.911270426000208,0.4716638388463973,28.21685173089484,2.418059442626828,18.01801801801802,1.5084519368062272,30.51391862955032,2.0746111167840975,-68.75,0.20033656542992226
11,16597853.81,1109.0,121,685,1,11596808.07,849.75,81.0,476.0,2.0,43.12432964150971,0.40564876695967417,30.50897322741983,1.0928692498718908,49.382716049382715,0.2786605867993183,43.90756302521008,1.1657986997515233,-50.0,0.008013462617196892
84,15974203.09,2216.0,861,1197,233,18056793.39,1233.25,608.0,656.0,237.0,-11.53355557113123,0.390406847824979,79.68781674437462,2.183767590366195,41.61184210526316,1.9828658283819263,82.46951219512195,2.037169406719085,-1.6877637130801688,1.8671367898068756
34,15813395.600000001,1263.5,206,660,0,16364658.629999999,1463.5,194.0,742.0,0.0,-3.3686191839615387,0.3864767397047907,-13.665869490946362,1.2451219992904725,6.185567010309279,0.47441389157569896,-11.05121293800539,1.1232513019503727,0.0,0.0
33,14429134.069999998,1334.75,576,693,31,10595674.58,981.5,390.0,490.0,32.0,36.17947551197819,0.35264561977674896,35.99083036169129,1.3153356458670031,47.69230769230769,1.3265165123670029,41.42857142857143,1.1794138670478913,-3.125,0.24841734113310363
56,13330370.95,1723.25,752,802,1,15737031.540000001,2062.25,917.0,984.0,14.0,-15.292976848161045,0.3257920331678449,-16.438356164383563,1.6981847924632425,-17.993456924754636,1.7318410022569204,-18.495934959349594,1.3649205214609075,-92.85714285714286,0.008013462617196892
19,13138771.01,1372.75,372,734,0,11735018.040000001,1298.0,342.0,647.0,2.0,11.962086169916095,0.32110936272742197,5.758859784283513,1.3527829240411526,8.771929824561404,0.8567085809036894,13.446676970633694,1.2491915994417782,-100.0,0.0
70,12282232.9,1196.5,184,618,2,6888317.38,718.25,121.0,375.0,3.0,78.3052699583944,0.30017571478999205,66.58545074834667,1.1790965351413143,52.06611570247934,0.42374833033945924,64.8,1.0517716736444398,-33.333333333333336,0.016026925234393783
