Shipping_Line,Period_kg,Prior_kg,YoY_Pct_kg
PRIVATE CARRIER - RVAM,850487825.0,812213005.0,4.712411616703921
NYK LINE,520303970.0,479498988.73,8.509920193591224
PRIVATE CARRIER - QSA,350537768.62,374269583.8,-6.3408345767904235
PRIVATE CARRIER - MOS,315855310.7,289420912.92,9.133547922746969
PRIVATE CARRIER - TSA,264999824.56,239140245.78,10.813562014898086
MEDITERRANEAN SHIPPING CO,244510890.92,166978275.07,46.4327564873317
CMA/CGM,227846275.57,253798136.86,-10.225394721599383
EVERGREEN,210263323.03,116492282.21,80.49549638915947
ACCORDIA SHIPPING,113021643.8,111201930.3,1.6364045975558035
PRIVATE CARRIER - VIA,97791010.06,361287990.44,-72.93267070934083
PRIVATE CARRIER - TST,97029650.0,141856213.0,-31.59999978287874
PRIVATE CARRIER - ADE,78303080.0,29454131.38,165.84752743097192
KING OCEAN SERVICES,77760507.62,77240848.99,0.6727769526035219
MAERSK LINE,76544351.54,79273864.1,-3.443143072421504
ZIM LINES,71045754.78,37865368.81,87.62726209400414
SEABOARD MARINE,64822351.45,52316600.1,23.90398329802781
PRIVATE CARRIER - HSS,64414600.0,39316690.0,63.835256731937505
HAPAG-LLOYD,63644414.73,48400586.46,31.495131329861152
ANTILLEAN MARINE SHIPPING CORP,49720022.43,41666851.4,19.327524781486133
PRIVATE CARRIER - NCS,49169777.9,0.0,0.0
COSCO SHIPPING,47442723.93,67856178.88,-30.083413606445617
PRIVATE CARRIER - AGE,32596364.6,25960721.2,25.560319949817117
CROWLEY LINER SERVICES INC,32171828.080000002,34278566.51,-6.145935038985375
OCEAN NETWORK EXPRESS,24973837.49,0.0,0.0
PRIVATE CARRIER - ETV,14233845.8,8500000.0,67.45700941176472
PRIVATE CARRIER - JHM,10617258.0,0.0,0.0
NATIONAL SHIPPING OF AMERICA,10285187.040000001,3932571.2199999997,161.53848117720807
PRIVATE CARRIER - NAD,7179203.0,14336435.0,-49.92337355834976
PRIVATE CARRIER - APA,5781225.97,4031957.9699999997,43.385075266545996
PRIVATE CARRIER - TCA,5318345.3,4292833.0,23.888940007682567
PRIVATE CARRIER - DEM,4551089.0,100746.0,4417.389276001032
PRIVATE CARRIER - SON,3530350.0,0.0,0.0
AMERIJET,2976097.0,2169371.0,37.18709247980175
PRIVATE CARRIER - MAS,1296376.67,0.0,0.0
PRIVATE CARRIER - FAS,281829.0,0.0,0.0
PRIVATE CARRIER - ENM,129281.26999999999,4555371.0,-97.16200348994627
PRIVATE CARRIER - BCS,109777.0,723809.47,-84.83343966195966
PRIVATE CARRIER - HAT,71946.1,565517.66,-87.27783319799421
PRIVATE CARRIER - HIF,59624.44,0.0,0.0
PRIVATE CARRIER - AGA,2528.0,9714.2,-73.97624096683207
