country,n_flows,ytd_value_kg,n_anomalies,n_significant,ytd_value_teu
USA,187,1162018855.47,24,1,0.0
US VIRGIN ISLANDS,3,526355536.0,2,0,0.0
TURKEY,39,470578436.38,3,0,0.0
CHINA,186,308317917.83,23,0,0.0
DOMINICAN REPUBLIC,42,277392901.64,8,0,0.0
EGYPT,8,239734359.6,2,0,0.0
VIETNAM,25,159237778.39000002,1,0,0.0
INDONESIA,16,111406283.93,4,0,0.0
PAKISTAN,5,105509400.77,1,0,0.0
BRAZIL,38,95007523.57000001,6,0,0.0
INDIA,64,84532806.24,6,0,0.0
PANAMA,30,75325884.26,5,0,0.0
COLOMBIA,26,59378743.900000006,2,0,0.0
PERU,14,57675060.849999994,3,0,0.0
GUATEMALA,14,51086264.11000001,1,0,0.0
NETHERLAND ANTILLES,2,28936083.0,1,0,0.0
NETHERLANDS,27,27164280.929999996,2,0,0.0
HONDURAS,6,24257608.49,1,0,0.0
EL SALVADOR,1,22906015.93,1,0,0.0
BELGIUM,27,18153107.1,2,0,0.0
FRANCE,33,16787745.5,2,0,0.0
MALAYSIA,9,16719307.58,1,0,0.0
TAIWAN,13,10559485.889999999,1,0,0.0
SPAIN,25,8100248.43,2,0,0.0
CANADA,19,7796685.52,1,0,0.0
NICARAGUA,1,6865058.800000001,1,0,0.0
MEXICO,34,6067782.07,0,0,0.0
SOUTH KOREA,15,4982827.87,1,0,0.0
POLAND,7,3337979.6599999997,0,0,0.0
COSTA RICA,7,2770124.47,0,0,0.0
TRINIDAD AND TOBAGO,8,2511609.81,0,0,0.0
CHILE,8,2322749.24,0,0,0.0
UNITED ARAB EMIRATES,10,2276200.85,0,0,0.0
MOROCCO,4,2109870.88,0,0,0.0
GERMANY,12,1510498.09,0,0,0.0
SENEGAL,2,1458355.99,0,0,0.0
ARGENTINA,6,1290851.19,0,0,0.0
ITALY,16,1264126.18,0,0,0.0
THAILAND,9,1109000.38,0,0,0.0
GUYANA,1,989300.0,0,0,0.0
MAURITANIA,1,888812.0,0,0,0.0
NORWAY,3,814565.4,0,0,0.0
UKRAINE,1,728329.45,0,0,0.0
IVORY COAST,1,727364.01,0,0,0.0
SWEDEN,4,697795.9099999999,0,0,0.0
JAPAN,9,578242.09,0,0,0.0
DENMARK,6,483803.4,0,0,0.0
IRELAND,3,416794.0,0,0,0.0
ECUADOR,4,367742.68,0,0,0.0
JAMAICA,7,362998.99,1,0,0.0
HONG KONG,4,312918.4,0,0,0.0
SOUTH AFRICA,5,235726.11,0,0,0.0
UNITED KINGDOM,4,219611.36,0,0,0.0
BANGLADESH,1,212850.0,0,0,0.0
OMAN,2,205590.69,0,0,0.0
JORDAN,2,149040.0,0,0,0.0
HAITI,1,139744.16,0,0,0.0
PUERTO RICO,1,129750.34,0,0,0.0
NETHERLANDS ANTILLES,1,128230.0,0,0,0.0
NOT AVAILABLE,1,107991.05,0,0,0.0
SAUDI ARABIA,1,99288.0,0,0,0.0
VENEZUELA,1,98800.0,0,0,0.0
URUGUAY,2,84849.57,0,0,0.0
GUADELOUPE,2,82503.0,0,0,0.0
ESTONIA,1,54080.0,0,0,0.0
LEBANON,2,52040.0,0,0,0.0
CARIBBEAN,1,48335.0,0,0,0.0
FINLAND,2,43376.490000000005,0,0,0.0
ROMANIA,1,26000.0,0,0,0.0
GHANA,1,24077.0,0,0,0.0
AUSTRALIA,1,22264.0,0,0,0.0
CYPRUS,1,21565.0,0,0,0.0
TURKS AND CAICOS,1,5115.0,0,0,0.0
SINGAPORE,1,5039.0,0,0,0.0
KENYA,1,1760.0,0,0,0.0
ISRAEL,1,0.0,0,0,0.0
