Port_of_Origin,Period_kg,Prior_kg,YoY_Pct_kg,Share_kg,Period_teu,Prior_teu,YoY_Pct_teu,Share_teu,Period_shipment,Prior_shipment,YoY_Pct_shipment,Share_shipment,Period_container,Prior_container,YoY_Pct_container,Share_container,Period_vrac,Prior_vrac,YoY_Pct_vrac,Share_vrac,country
ST CROIX,526378215.8,403620434.0,30.414164264042192,12.864595425286696,20.0,0.0,0.0,0.019709093775868186,185,143.0,29.37062937062937,0.426051310395652,10,0.0,0.0,0.017018959120460194,184,143.0,28.671328671328673,1.4744771215642278,US VIRGIN ISLANDS
NEW ORLEANS - LA,385103034.64,292121830.66,31.829597866727248,9.411853661467134,512.5,324.5,57.93528505392912,0.5050455280066223,191,140.0,36.42857142857142,0.4398691907328082,250,155.0,61.29032258064516,0.4254739780115048,56,43.0,30.23255813953488,0.4487539065630259,USA
HOUSTON - TX,302378010.38,287902502.38,5.027920174481118,7.390067925075103,2938.0,2199.25,33.59099693077185,2.8952658756750362,598,457.0,30.85339168490153,1.3771820736032427,1890,1299.0,45.49653579676674,3.216583273766976,41,50.0,-18.0,0.3285519673050725,USA
ISKENDERUN,294238498.9,214997548.43,36.856676296380954,7.191139627880025,33.25,90.0,-63.05555555555556,0.032766368402380855,26,34.0,-23.52941176470588,0.059877481461010545,26,56.0,-53.57142857142857,0.044249293713196504,16,14.0,14.285714285714285,0.12821540187515024,TURKEY
PORT EVERGLADES - FL,221830855.27,442749247.13,-49.89695483211831,5.421508945913861,12811.75,9009.75,42.198729154527044,12.62539910914896,9745,4984.0,95.52568218298555,22.44254064759799,6643,4558.0,45.74374725756911,11.305694543721707,4395,1531.0,187.06727629000653,35.219168202580335,USA
RIO HAINA,193845627.12,63383056.37,205.83193399261447,4.737554657480912,1288.5,725.25,77.66287487073423,1.2697583665103078,505,268.0,88.43283582089553,1.1630049283773203,549,346.0,58.67052023121387,0.9343408557132646,99,18.0,450.0,0.7933327991024922,DOMINICAN REPUBLIC
HALONG,149162540.38,56999403.8,161.69140453360322,3.6455075020159864,0.0,0.0,0.0,0.0,37,13.0,184.6153846153846,0.08521026207913039,0,0.0,0.0,0.0,37,13.0,184.6153846153846,0.29649811683628496,VIETNAM
ALEXANDRIA,131725427.68,76052629.8,73.20298854412528,3.219347388361396,109.0,18.0,505.55555555555554,0.1074145610784816,35,18.0,94.44444444444444,0.08060430196674497,72,14.0,414.28571428571433,0.12253650566731338,17,11.0,54.54545454545454,0.13622886449234714,EGYPT
DARROW - LA,105826776.0,69057115.0,53.24528978657739,2.58638867935165,0.0,0.0,0.0,0.0,47,26.0,80.76923076923077,0.10824006264105754,0,0.0,0.0,0.0,47,26.0,80.76923076923077,0.37663274300825383,USA
MIAMI - FL,86617335.81,79230948.09,9.322604232388656,2.1169131787080455,7021.5,5654.0,24.186416696144324,6.919370097362923,10065,9881.0,1.8621597004351786,23.17949426557966,3814,2976.0,28.158602150537636,6.4910310085435174,7080,8728.0,-18.881759853345553,56.73531532975399,USA
ISTANBUL,79420020.43,126058787.63,-36.997632673488205,1.9410119963782015,48.5,28.5,70.17543859649122,0.04779455240648035,38,36.0,5.555555555555555,0.0875132421353231,22,19.0,15.789473684210526,0.03744171006501242,20,26.0,-23.076923076923077,0.16026925234393782,TURKEY
