Shipping_Line,Period_kg,Prior_kg,YoY_Pct_kg,Share_kg,Period_teu,Prior_teu,YoY_Pct_teu,Share_teu,Period_shipment,Prior_shipment,YoY_Pct_shipment,Share_shipment,Period_container,Prior_container,YoY_Pct_container,Share_container,Period_vrac,Prior_vrac,YoY_Pct_vrac,Share_vrac
PRIVATE CARRIER - RVAM,850487825.0,812213005.0,4.712411616703921,20.785779985458568,0.0,0.0,0.0,0.0,452,420.0,7.6190476190476195,1.0409469853991065,0,0.0,0.0,0.0,452,420.0,7.6190476190476195,3.622085102972995
NYK LINE,520303970.0,479498988.73,8.509920193591224,12.716141875376799,0.0,0.0,0.0,0.0,68,66.0,3.0303030303030303,0.1566026438211045,0,0.0,0.0,0.0,68,66.0,3.0303030303030303,0.5449154579693886
PRIVATE CARRIER - QSA,350537768.62,374269583.8,-6.3408345767904235,8.567084349654156,0.0,0.0,0.0,0.0,68,74.0,-8.108108108108109,0.1566026438211045,0,0.0,0.0,0.0,68,74.0,-8.108108108108109,0.5449154579693886
PRIVATE CARRIER - MOS,315855310.7,289420912.92,9.133547922746969,7.719450887434934,0.0,0.0,0.0,0.0,25,21.0,19.047619047619047,0.05757450140481783,0,0.0,0.0,0.0,25,21.0,19.047619047619047,0.2003365654299223
PRIVATE CARRIER - TSA,264999824.56,239140245.78,10.813562014898086,6.476551324516938,3.0,2.0,50.0,0.0029563640663802277,115,135.0,-14.814814814814813,0.264842706462162,3,2.0,50.0,0.005105687736138058,114,133.0,-14.285714285714285,0.9135347383604455
MEDITERRANEAN SHIPPING CO,244510890.92,166978275.07,46.4327564873317,5.975805218271735,17241.0,11879.0,45.13847967000589,16.99022428948717,4118,2528.0,62.89556962025317,9.483671871401594,10854,7190.0,50.959666203059804,18.472378229347495,1,0.0,0.0,0.00801346261719689
CMA/CGM,227846275.57,253798136.86,-10.225394721599383,5.568524810457085,17465.5,17470.75,-0.03005022680766424,17.21145886712129,5075,3948.0,28.54609929078014,11.68762378517802,10493,10948.0,-4.156010230179028,17.85799380509888,0,0.0,0.0,0.0
EVERGREEN,210263323.03,116492282.21,80.49549638915947,5.13880039554121,18280.0,9756.0,87.37187371873719,18.01411171114352,4949,2664.0,85.77327327327328,11.39744829809774,10366,5704.0,81.73211781206172,17.641853024269036,5,17.0,-70.58823529411765,0.040067313085984456
ACCORDIA SHIPPING,113021643.8,111201930.3,1.6364045975558035,2.7622300432362654,2831.25,0.0,0.0,2.79006858764634,1676,88.0,1804.5454545454547,3.8597945741789874,1412,0.0,0.0,2.4030770278089792,282,88.0,220.45454545454547,2.2597964580495233
PRIVATE CARRIER - VIA,97791010.06,361287990.44,-72.93267070934083,2.3899959057766944,0.0,0.0,0.0,0.0,3888,1582.0,145.76485461441214,8.95398645847727,0,0.0,0.0,0.0,3888,1582.0,145.76485461441214,31.15634265566151
