hs_code,hs_description,period_value,ytd_value
0202,Meat of bovine animals; frozen,15558.21,15558.21
0203,"Meat of swine; fresh, chilled or frozen",17422509.45,17422509.45
0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",87176687.19999999,87176687.19999999
0208,"Meat and edible meat offal, n.e.c. in chapter 2; fresh, chilled or frozen",223871.56,223871.56
0302,"Fish; fresh or chilled, excluding fish fillets and other fish meat of heading 0304",8305771.65,8305771.65
0305,"Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption",995080.0,995080.0
0306,"Crustaceans; in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked, cooked or not before or during smoking; in shell, steamed or boiled, whether or not chilled, frozen, drie",758502.94,758502.94
0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,61040296.599999994,61040296.599999994
0403,"Fish and crustaceans, molluscs and other aquatic invertebrates",52826.0,52826.0
0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",51923.04,51923.04
0405,Butter and other fats and oils derived from milk; dairy spreads,1052717.29,1052717.29
0406,Cheese and curd,1235635.01,1235635.01
0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",52.0,52.0
0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",14909.0,14909.0
0701,Potatoes; fresh or chilled,511455.2,511455.2
0702,Meat and edible meat offal,185598.08000000002,185598.08000000002
0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",25044097.89,25044097.89
0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",23428.0,23428.0
0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",4305889.58,4305889.58
0806,Grapes; fresh or dried,11634.19,11634.19
0810,"Fruit, fresh; n.e.c. in chapter 08",13341.9,13341.9
0813,"Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter",1882.0,1882.0
0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",4161.4,4161.4
0904,Pepper of the genus piper; dried or crushed or ground fruits of the genus capsicum or of the genus pimenta,41164.0,41164.0
0906,Cinnamon and cinnamon-tree flowers,352999.0,352999.0
0907,"Cloves (whole fruit, cloves and stems)",257243.40000000002,257243.40000000002
1001,Wheat and meslin,220742705.3,220742705.3
1005,Maize (corn),1753664.1,1753664.1
1006,Rice,477106042.72999996,477106042.72999996
1007,Grain sorghum,451182.02,451182.02
1101,Wheat or meslin flour,507200.0,507200.0
1102,Cereal flours; other than of wheat or meslin,1660687.24,1660687.24
1103,Cereal groats; meal and pellets,2673637.16,2673637.16
1107,Malt; whether or not roasted,8294597.0200000005,8294597.0200000005
1108,Starches; inulin,3461732.39,3461732.39
1208,Flours and meals of oil seeds or oleaginous fruits; other than those of mustard,208328.01,208328.01
1209,"Seeds, fruit and spores; of a kind used for sowing",209924.97,209924.97
1301,"Lac; natural gums, resins, gum-resins and oleoresins (for example, balsams)",44107.0,44107.0
1507,"Soya-bean oil and its fractions; whether or not refined, but not chemically modified",7288109.14,7288109.14
1509,"Olive oil and its fractions; whether or not refined, but not chemically modified",78300.44,78300.44
1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",93262873.0,93262873.0
1515,"Fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined; but not chemically modified",15717485.59,15717485.59
1516,"Animal or vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",14246618.399999999,14246618.399999999
1517,"Margarine; edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this chapter, other than edible fats or oils of heading no. 1516",2353572.1,2353572.1
1601,"Sausages and similar products of meat, meat offal or blood; food preparations based on these products",10258308.27,10258308.27
1602,"Prepared or preserved meat, meat offal or blood",57834.0,57834.0
1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,11390344.0,11390344.0
1701,"Cane or beet sugar and chemically pure sucrose, in solid form",175483153.19,175483153.19
1703,Molasses; resulting from the extraction or refining of sugar,783751.2,783751.2
1704,"Sugar confectionery (including white chocolate), not containing cocoa",6659188.100000001,6659188.100000001
1805,"Cocoa; powder, not containing added sugar or other sweetening matter",20190.0,20190.0
1806,Chocolate and other food preparations containing cocoa,35988.96,35988.96
1901,"Malt extract; flour/groats/meal/starch/malt extract products, no cocoa (or less than 40% by weight) and food preparations of goods of headings 04.01 to 04.04, no cocoa (or less than 5% by weight), wei",1606829.38,1606829.38
1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",1183400.97,1183400.97
1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",10348540.66,10348540.66
2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,4274209.48,4274209.48
2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",489725.57,489725.57
2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",19680.0,19680.0
2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",30862.9,30862.9
2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",1341713.15,1341713.15
2101,"Extracts, essences, concentrates of coffee, tea or mate; preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes and ex",48596.4,48596.4
2102,"Yeasts (active or inactive); other single-cell micro-organisms, dead (but not including vaccines of heading no. 3002); prepared baking powders",461978.02,461978.02
2103,"Sauces and preparations therefor; mixed condiments and mixed seasonings, mustard flour and meal and prepared mustard",887927.9800000001,887927.9800000001
2104,Soups and broths and preparations therefor; homogenised composite food preparations,1931730.76,1931730.76
2106,Food preparations not elsewhere specified or included,67238110.17999999,67238110.17999999
2201,"Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavoured; ice and snow",177234.35,177234.35
2202,"Waters, including mineral and aerated waters, containing added sugar or sweetening matter, flavoured; other non-alcoholic beverages, not including fruit or vegetable juices of heading no. 2009",2177841.21,2177841.21
2203,Beer made from malt,13422617.28,13422617.28
2205,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances",4724457.58,4724457.58
2208,"Ethyl alcohol, undenatured; of an alcoholic strength by volume of less than 80% volume; spirits, liqueurs and other spirituous beverages",3550099.4600000004,3550099.4600000004
2309,Preparations of a kind used in animal feeding,807381.8300000001,807381.8300000001
2401,"Tobacco, unmanufactured; tobacco refuse",684675.49,684675.49
2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",478510.13,478510.13
2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,14458927.11,14458927.11
2507,Kaolin and other kaolinic clays; whether or not calcined,337867.64,337867.64
2509,Chalk,419161.0,419161.0
2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",1053492377.01,1053492377.01
2706,"Tar distilled from coal, from lignite, peat and other mineral tars, whether or not dehydrated or partially distilled; including reconstituted tars",18648.4,18648.4
2709,Petroleum oils and oils obtained from bituminous minerals; crude,41237167.78,41237167.78
2710,Cereals,4572.0,4572.0
2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents",669831496.5,669831496.5
2711,Petroleum gases and other gaseous hydrocarbons,61594505.01,61594505.01
2712,"Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or n",202118.4,202118.4
2714,"Bitumen and asphalt, natural; bituminous or oil shale and tar sands; asphaltites and asphaltic rocks",612985.96,612985.96
2804,"Hydrogen, rare gases and other non-metals",495638.86,495638.86
2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",55739.479999999996,55739.479999999996
2806,Hydrogen chloride (hydrochloric acid); chlorosulphuric acid,203775.77000000002,203775.77000000002
2807,Sulphuric acid; oleum,130160.5,130160.5
2809,Diphosphorus pentoxide; phosphoric acid and polyphosphoric acids,54440.0,54440.0
2811,Inorganic acids and other inorganic oxygen compounds of non-metals; n.e.c. in heading no. 2806 to 2810,972871.0,972871.0
2814,Ammonia; anhydrous or in aqueous solution,37712.9,37712.9
2815,Sodium hydroxide (caustic soda); potassium hydroxide (caustic potash) peroxides of sodium or potassium,2510240.0,2510240.0
2823,Titanium oxides,372340.0,372340.0
2827,Chlorides; chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide oxides,139938.16,139938.16
2828,Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites,85163.5,85163.5
2833,Sulphates; alums; peroxosulphates (persulphates),5967394.6,5967394.6
2835,"Phosphinates (hypophosphites), phosphonates (phosphites), and phosphates; and polyphosphates, whether or not chemically defined",573793.1,573793.1
2836,Carbonates; peroxocarbonates (percarbonates); commercial ammonium carbonate containing ammonium carbamate,2203384.37,2203384.37
2837,"Cyanides, cyanide oxides and complex cyanides",435645.6,435645.6
2839,Silicates; commercial alkali metal silicates,1511748.0,1511748.0
2842,"Salts of inorganic acids or peroxoacids, n.e.c. including aluminosilicates whether or not chemically defined, but excluding azides",3508089.1799999997,3508089.1799999997
2847,Hydrogen peroxide; whether or not solidified with urea,10590.0,10590.0
2849,"Carbides, whether or not chemically defined",322091.12,322091.12
2901,Acyclic hydrocarbons,14820.0,14820.0
2902,Cyclic hydrocarbons,39663.0,39663.0
2903,Halogenated derivatives of hydrocarbons,87310.38,87310.38
