country,hs_code,hs_description,metric,current_value,prior_value,yoy_pct,abs_delta,is_ath
US VIRGIN ISLANDS,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weigh",weight_kg,519881326.0,349457232.0,48.77,170424094.0,True
USA,8702,Vehicles; public transport passenger type,weight_kg,8559486.719999999,147541021.06,-94.2,138981534.34,False
USA,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weigh",weight_kg,136873463.38,19909.0,687395.42,136853554.38,True
USA,1001,Wheat and meslin,weight_kg,220742705.3,93851546.21000001,135.2,126891159.09,True
DOMINICAN REPUBLIC,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydr",weight_kg,117183967.0,14898470.0,686.55,102285497.0,False
VIETNAM,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydr",weight_kg,149121202.92000002,56995993.699999996,161.63,92125209.22000003,True
USA,9999,Commodities not specified according to kind,weight_kg,207398072.04999995,286765084.64000005,-27.68,79367012.5900001,False
DOMINICAN REPUBLIC,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weigh",weight_kg,10682074.160000002,65988806.5,-83.81,55306732.339999996,False
PANAMA,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydr",weight_kg,64414600.0,10034370.0,541.94,54380230.0,True
US VIRGIN ISLANDS,2709,Petroleum oils and oils obtained from bituminous minerals; crude,weight_kg,6035530.0,53079826.0,-88.63,47044296.0,False
PAKISTAN,1006,Rice,weight_kg,104702181.5,142671279.14999998,-26.61,37969097.649999976,False
NICARAGUA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",weight_kg,6865058.800000001,43594611.0,-84.25,36729552.2,False
USA,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydr",weight_kg,36053844.0,67583.45999999999,53247.14,35986260.54,True
USA,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gal",weight_kg,55873014.779999994,26551726.509999998,110.43,29321288.269999996,True
COLOMBIA,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydr",weight_kg,24186.1,29282320.0,-99.92,29258133.9,False
CHINA,9999,Commodities not specified according to kind,weight_kg,55689580.19,27334920.5,103.73,28354659.689999998,True
TRINIDAD AND TOBAGO,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weigh",weight_kg,20395.0,25636480.0,-99.92,25616085.0,False
NETHERLAND ANTILLES,2709,Petroleum oils and oils obtained from bituminous minerals; crude,weight_kg,28892263.0,6227460.0,363.95,22664803.0,False
CHINA,7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot",weight_kg,19789137.25,169708.0,11560.7,19619429.25,True
COLOMBIA,3824,Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or ,weight_kg,136560.0,17487030.0,-99.22,17350470.0,False
DOMINICAN REPUBLIC,7308,"Structures of iron or steel and parts thereof; plates, rods, angles, shapes, sections, tubes and the",weight_kg,15704585.0,17560.0,89333.86,15687025.0,True
BRAZIL,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",weight_kg,19896916.6,33715493.72,-40.99,13818577.119999997,False
USA,4407,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of ",weight_kg,26423101.860000003,12713166.92,107.84,13709934.940000003,False
TURKEY,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydr",weight_kg,449916098.0,461467639.37,-2.5,11551541.370000005,False
USA,2106,Food preparations not elsewhere specified or included,weight_kg,52310479.51,63840636.40999999,-18.06,11530156.899999991,False
COLOMBIA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",weight_kg,47869824.839999996,59028574.95999999,-18.9,11158750.119999997,False
TURKEY,7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot",weight_kg,11029990.03,618880.03,1682.25,10411110.0,False
GUATEMALA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",weight_kg,49233844.620000005,39645964.68999999,24.18,9587879.930000015,False
DOMINICAN REPUBLIC,3824,Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or ,weight_kg,36301084.0,26850717.0,35.2,9450367.0,True
USA,1006,Rice,weight_kg,345013808.84,354315035.6,-2.63,9301226.76000005,False
CHINA,8711,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars",weight_kg,12769939.33,4287812.46,197.82,8482126.870000001,True
DOMINICAN REPUBLIC,8455,Metal-rolling mills and rolls therefor,weight_kg,2033222.0,10497847.0,-80.63,8464625.0,False
PERU,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite ",weight_kg,12257850.16,3801270.04,222.47,8456580.120000001,True
BRAZIL,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gal",weight_kg,20100529.77,12019511.200000001,67.23,8081018.569999998,True
CHINA,7326,"Iron or steel; articles, n.e.c. in chapter 73",weight_kg,11248647.849999998,3684107.93,205.33,7564539.919999998,True
INDIA,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite ",weight_kg,13460891.51,6063391.6899999995,122.0,7397499.82,True
INDIA,1006,Rice,weight_kg,21067970.490000002,14316164.8,47.16,6751805.690000001,True
USA,1507,"Soya-bean oil and its fractions; whether or not refined, but not chemically modified",weight_kg,6501649.0,0.0,0.0,6501649.0,True
USA,2709,Petroleum oils and oils obtained from bituminous minerals; crude,weight_kg,6309374.78,19986.39,31468.36,6289388.390000001,False
INDONESIA,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",weight_kg,82273743.78,76120075.34,8.08,6153668.439999998,False
HONG KONG,7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot",weight_kg,6013713.0,0.0,0.0,6013713.0,True
TURKEY,3101,"Fertilizers; animal or vegetable, whether or not mixed together or chemically treated; fertilizers p",weight_kg,290000.0,6232200.0,-95.35,5942200.0,False
CHINA,7312,"Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel, not electrically",weight_kg,6546887.069999999,674972.0,869.95,5871915.069999999,False
CHINA,6309,Textiles; worn clothing and other worn articles,weight_kg,17978331.9,12142658.4,48.06,5835673.499999998,True
CHINA,4412,"Plywood, veneered panels and similar laminated wood",weight_kg,7976760.05,2174582.01,266.82,5802178.04,True
INDIA,3204,Synthetic organic colouring matter and preparations based thereon; synthetic organic products used a,weight_kg,7581402.1,13249047.91,-42.78,5667645.8100000005,False
GUYANA,1006,Rice,weight_kg,989300.0,6225628.0,-84.11,5236328.0,False
HONDURAS,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",weight_kg,22863430.0,27635032.19,-17.27,4771602.190000001,False
MALAYSIA,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",weight_kg,10009193.719999999,14659678.2,-31.72,4650484.48,False
SURINAME,1006,Rice,weight_kg,4214500.0,0.0,0.0,4214500.0,True
DOMINICAN REPUBLIC,2711,Petroleum gases and other gaseous hydrocarbons,weight_kg,58239986.0,54088967.0,7.67,4151019.0,True
EGYPT,7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot",weight_kg,4092320.0,0.0,0.0,4092320.0,True
CHINA,4011,"New pneumatic tyres, of rubber",weight_kg,8590413.64,4516736.46,90.19,4073677.1800000006,False
PANAMA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",weight_kg,4011300.0,0.0,0.0,4011300.0,False
CHINA,7225,"Alloy steel flat-rolled products, of a width 600mm or more",weight_kg,5358241.09,1501468.97,256.87,3856772.12,False
VIETNAM,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite ",weight_kg,3330999.06,7160868.53,-53.48,3829869.47,False
CHINA,6405,Footwear; other footwear n.e.c. in chapter 64,weight_kg,8874703.0,5113570.59,73.55,3761132.41,True
CHINA,7326,"Ores, slag and ash",weight_kg,26551.92,3684107.93,-99.28,3657556.0100000002,False
