Country,Period_kg,Prior_kg,YTD_kg,Period_teu,Prior_teu,YTD_teu,Period_shipment,Prior_shipment,YTD_shipment,Period_container,Prior_container,YTD_container,Period_vrac,Prior_vrac,YTD_vrac,YoY_Change_kg,YoY_Pct_kg,YoY_Change_teu,YoY_Pct_teu,YoY_Change_shipment,YoY_Pct_shipment,YoY_Change_container,YoY_Pct_container,YoY_Change_vrac,YoY_Pct_vrac,Share_kg,Share_teu,Share_shipment,Share_container,Share_vrac
USA,115478786.02,1110987690.1299999,115478786.02,2490.25,26223.25,2490.25,2423,21408.0,2423,1391,13915.0,1391,1471,11236.0,1471,-995508904.1099999,-89.6057546770399,-23733.0,-90.50365610669921,-18985.0,-88.68180119581464,-12524.0,-90.00359324469997,-9765.0,-86.90815236739053,28.668296157824877,21.843340204377,49.4388900224444,19.922658264107707,95.4574951330305
US VIRGIN ISLANDS,55437537.0,519881326.0,55437537.0,0.0,0.0,0.0,16,181.0,16,0,0.0,0,16,181.0,16,-464443789.0,-89.33650157690026,0.0,0.0,-165.0,-91.16022099447514,0.0,0.0,-165.0,-91.16022099447514,13.762698619823736,0.0,0.3264639869414405,0.0,1.0382868267358858
TURKEY,38493493.42,454314945.76,38493493.42,50.5,260.75,50.5,16,107.0,16,30,219.0,30,3,37.0,3,-415821452.34,-91.52713469383971,-210.25,-80.63279002876318,-91.0,-85.04672897196262,-189.0,-86.3013698630137,-34.0,-91.89189189189189,9.556238920997302,0.4429630279373712,0.3264639869414405,0.4296763105127471,0.1946787800129786
CHINA,37990576.14,298020685.09,37990576.14,3049.25,25899.0,3049.25,1027,8023.0,1027,1612,14157.0,1612,9,27.0,9,-260030108.95,-87.25236936874798,-22849.75,-88.2263793968879,-6996.0,-87.19930200673065,-12545.0,-88.61340679522498,-18.0,-66.66666666666667,9.431386712008626,26.746633919564932,20.954907161803714,23.087940418218274,0.5840363400389358
EGYPT,36142252.980000004,245766288.87,36142252.980000004,107.0,401.5,107.0,23,125.0,23,74,213.0,74,4,34.0,4,-209624035.89,-85.29405593168323,-294.5,-73.34993773349937,-102.0,-81.6,-139.0,-65.25821596244131,-30.0,-88.23529411764706,8.97252948314003,0.9385553265207667,0.4692919812283208,1.0598682325981095,0.25957170668397145
DOMINICAN REPUBLIC,16900792.21,253970697.37,16900792.21,201.0,3743.5,201.0,88,1372.0,88,112,1949.0,112,24,143.0,24,-237069905.16,-93.34537709073662,-3542.5,-94.63069320154935,-1284.0,-93.58600583090379,-1837.0,-94.25346331452026,-119.0,-83.21678321678321,4.195722288717385,1.763080566641814,1.7955519281779229,1.6041248925809224,1.5574302401038287
INDIA,15013920.17,75612190.1,15013920.17,896.0,4904.75,896.0,174,1206.0,174,650,3188.0,650,0,0.0,0,-60598269.92999999,-80.14351898795218,-4008.75,-81.73199449513227,-1032.0,-85.57213930348259,-2538.0,-79.61104140526976,0.0,0.0,3.7272950708795514,7.859304416472962,3.5502958579881656,9.309653394442853,0.0
COLOMBIA,13684968.320000002,56715491.510000005,13684968.320000002,817.5,3622.25,817.5,98,458.0,98,544,2358.0,544,0,1.0,0,-43030523.190000005,-75.8708459441155,-2804.75,-77.43115466905928,-360.0,-78.60262008733625,-1814.0,-76.92960135708228,-1.0,-100.0,3.3973748619098205,7.170738125520811,1.9995919200163232,7.79146376396448,0.0
BRAZIL,9939862.81,91695339.41,9939862.81,632.75,5649.75,632.75,224,1818.0,224,381,3084.0,381,0,11.0,0,-81755476.6,-89.15990401043655,-5017.0,-88.80038939776097,-1594.0,-87.67876787678767,-2703.0,-87.64591439688716,-11.0,-100.0,2.4676301217426793,5.550195166878646,4.570495817180167,5.456889143511888,0.0
GUATEMALA,8251974.87,51413226.3,8251974.87,178.0,1611.5,178.0,25,158.0,25,128,995.0,128,5,31.0,5,-43161251.43,-83.94970426121654,-1433.5,-88.95439031957804,-133.0,-84.17721518987342,-867.0,-87.1356783919598,-26.0,-83.87096774193549,2.0486018914254642,1.5613350291653876,0.5100999795960008,1.8332855915210542,0.3244646333549643
INDONESIA,6943259.3,107739538.34000003,6943259.3,299.0,1750.0,299.0,49,361.0,49,277,1448.0,277,0,93.0,0,-100796279.04000004,-93.55551415294843,-1451.0,-82.91428571428571,-312.0,-86.42659279778394,-1171.0,-80.87016574585635,-93.0,-100.0,1.7237054594468784,2.6226919871935443,0.9997959600081616,3.9673446004010313,0.0
PAKISTAN,6679423.78,105367039.31,6679423.78,265.25,711.5,265.25,13,103.0,13,257,639.0,257,0,48.0,0,-98687615.53,-93.6608033937933,-446.25,-62.71960646521433,-90.0,-87.37864077669903,-382.0,-59.78090766823161,-48.0,-100.0,1.6582067208040616,2.3266523398096575,0.26525198938992045,3.6808937267258663,0.0
NETHERLAND ANTILLES,6265543.0,28892263.0,6265543.0,4.0,0.0,4.0,3,8.0,3,1,0.0,1,2,8.0,2,-22626720.0,-78.31411475106675,4.0,400.0,-5.0,-62.5,1.0,100.0,-6.0,-75.0,1.555458353038777,0.035086180430682866,0.0612119975515201,0.014322543683758236,0.12978585334198572
PERU,5701835.01,57189325.870000005,5701835.01,284.0,2878.25,284.0,71,637.0,71,240,2511.0,240,0,0.0,0,-51487490.86000001,-90.02989644787712,-2594.25,-90.13289325110745,-566.0,-88.85400313971742,-2271.0,-90.44205495818399,0.0,0.0,1.4155144883617332,2.4911188105784836,1.4486839420526423,3.4374104841019766,0.0
NICARAGUA,5225167.04,6865058.8,5225167.04,8.0,32.0,8.0,7,15.0,7,8,32.0,8,6,6.0,6,-1639891.7599999998,-23.88751222349326,-24.0,-75.0,-8.0,-53.333333333333336,-24.0,-75.0,0.0,0.0,1.2971788268615987,0.07017236086136573,0.14282799428688023,0.11458034947006589,0.3893575600259572
NETHERLANDS,4696125.09,26040825.819999997,4696125.09,311.25,1698.25,311.25,73,343.0,73,215,1214.0,215,0,0.0,0,-21344700.729999997,-81.96629737297633,-1387.0,-81.67230973060504,-270.0,-78.71720116618076,-999.0,-82.28995057660626,0.0,0.0,1.1658410130064512,2.7301434147625105,1.4894919404203224,3.0793468920080205,0.0
