hs_chapter,ytd_value,ytd_value_teu,ytd_value_shipment,ytd_value_container,ytd_value_vrac,prev_year_value,prev_year_value_teu,prev_year_value_shipment,prev_year_value_container,prev_year_value_vrac,yoy_change_pct,share_of_total,yoy_change_pct_teu,share_of_total_teu,yoy_change_pct_shipment,share_of_total_shipment,yoy_change_pct_container,share_of_total_container,yoy_change_pct_vrac,share_of_total_vrac
27,97290308.53,138.0,76,73,29,773501494.05,1158.0,643.0,586.0,291.0,-87.42209171173094,24.15289833182986,-88.08290155440415,1.2104732248585588,-88.18040435458786,1.5507039379718426,-87.54266211604096,1.0455456889143513,-90.03436426116839,1.881894873458793
25,79032533.8,22.0,8,20,4,1068708332.76,492.25,241.0,473.0,110.0,-92.60485472253276,19.620297053428484,-95.53072625698324,0.19297399236875576,-96.6804979253112,0.16323199347072026,-95.77167019027485,0.2864508736751647,-96.36363636363636,0.25957170668397145
10,70021368.33,506.0,52,493,14,700053594.15,2035.5,354.0,1807.0,164.0,-89.99771318722826,17.38322157554475,-75.14124293785311,4.4384018244813825,-85.31073446327683,1.0610079575596818,-72.71721084670725,7.06101403609281,-91.46341463414635,0.9085009733939
17,27243536.71,940.25,98,664,11,182926092.49,7024.0,676.0,4705.0,55.0,-85.1068066129006,6.763370188647346,-86.61375284738041,8.247445287487391,-85.50295857988165,1.9995919200163232,-85.88735387885228,9.510169006015468,-80.0,0.7138221933809215
99,16638012.709999999,2105.5,1617,1081,624,283759913.99,22186.5,15735.0,11241.0,5992.0,-94.13658804866061,4.130485713326816,-90.5099948166678,18.468488224200694,-89.72354623450906,32.993266680269336,-90.38341784538743,15.482669722142653,-89.58611481975969,40.493186242699544
02,12995210.23,967.5,321,482,0,104838626.41999999,8026.75,2816.0,3880.0,1.0,-87.60455885988132,3.2261383094407723,-87.94655371102874,8.486469891671417,-88.60085227272727,6.549683738012651,-87.57731958762886,6.903466055571469,-100.0,0.0
69,11050041.76,419.0,66,412,0,49706358.32,1940.25,359.0,1866.0,3.0,-77.76935962827542,2.7432386557748156,-78.40484473650302,3.6752774001140303,-81.61559888579387,1.3466639461334422,-77.92068595927117,5.900887997708393,-100.0,0.0
87,9242401.49,862.25,971,420,722,45934306.099999994,3830.75,5040.0,1922.0,3829.0,-79.87908760419916,2.2944811965632566,-77.49135286823729,7.563264769089075,-80.73412698412699,19.81228320750867,-78.1477627471384,6.015468347178459,-81.14390180203709,46.85269305645684
72,8475347.7,36.0,15,27,5,62862871.08,804.25,166.0,644.0,19.0,-86.51772094657564,2.1040555263722527,-95.52377991917936,0.3157756238761458,-90.96385542168674,0.3060599877576005,-95.80745341614907,0.38670867946147236,-73.6842105263158,0.3244646333549643
15,7111181.5600000005,304.25,52,286,4,132946958.67000003,2256.5,686.0,1814.0,282.0,-94.65111377413957,1.7653931602539987,-86.51672944826058,2.6687425990088154,-92.4198250728863,1.0610079575596818,-84.23373759647188,4.096247493554856,-98.58156028368795,0.25957170668397145
04,5733372.64,315.0,63,274,0,63433397.940000005,3346.0,646.0,2974.0,2.0,-90.96158675683265,1.423343892775452,-90.5857740585774,2.7630367089162755,-90.24767801857585,1.285451948581922,-90.78681909885675,3.9243769693497565,-100.0,0.0
21,5167981.95,355.75,82,284,2,70568343.34,5126.5,1387.0,3479.0,17.0,-92.67662849175792,1.2829822878050836,-93.06056763873988,3.120477172053857,-94.08795962509012,1.6731279330748827,-91.83673469387755,4.067602406187339,-88.23529411764706,0.12978585334198572
63,4470239.3,364.25,156,183,0,38920051.11,3227.5,1297.0,1522.0,36.0,-88.51430259594025,1.1097635207782015,-88.7141750580945,3.1950353054690583,-87.9722436391673,3.183023872679045,-87.97634691195795,2.621025494127757,-100.0,0.0
32,4065440.0,175.75,21,169,0,10141982.19,496.0,161.0,456.0,23.0,-59.91473930994943,1.0092696844915061,-64.56653225806451,1.5415990526731285,-86.95652173913044,0.4284839828606407,-62.93859649122807,2.420509882555142,-100.0,0.0
73,3909065.59,320.0,74,177,2,51206414.099999994,2393.0,619.0,1600.0,22.0,-92.36606261401928,0.9704488061995512,-86.6276640200585,2.8068944344546294,-88.04523424878836,1.5098959396041625,-88.9375,2.535090232025208,-90.9090909090909,0.12978585334198572
28,3536033.29,83.5,31,63,2,19590756.14,779.75,283.0,658.0,4.0,-81.95050122246074,0.8778413167946797,-89.29143956396281,0.7324240164905048,-89.04593639575971,0.632523974699041,-90.42553191489361,0.9023202520767688,-50.0,0.12978585334198572
22,3233110.6399999997,234.0,60,132,0,24052249.88,1880.25,513.0,975.0,1.0,-86.55797001889454,0.8026389654155346,-87.554846429996,2.0525415551949475,-88.30409356725146,1.224239951030402,-86.46153846153847,1.8905757662560871,-100.0,0.0
44,2820544.99,157.25,29,80,4,46768721.63,1693.0,264.0,830.0,31.0,-93.96916380927814,0.700217086502666,-90.71175428233904,1.3793254681812201,-89.01515151515152,0.591715976331361,-90.36144578313252,1.1458034947006588,-87.09677419354838,0.25957170668397145
07,2699179.28,189.5,72,108,0,30070468.75,2203.75,663.0,1153.0,0.0,-91.02382040519404,0.670087326417709,-91.40102098695405,1.6622077979036007,-89.14027149321267,1.4690879412364823,-90.63313096270599,1.5468347178458894,0.0,0.0
39,2445639.9,266.0,72,136,0,29376015.560000002,3217.0,835.0,1603.0,15.0,-91.67470518592006,0.6071446658302272,-91.73142679515077,2.3332309986404107,-91.37724550898204,1.4690879412364823,-91.5159076731129,1.94786594099112,-100.0,0.0
11,2386282.6799999997,172.0,13,97,0,16597853.81,1109.0,121.0,685.0,1.0,-85.62294434379044,0.5924088825689582,-84.49053201082056,1.5087057585193633,-89.25619834710744,0.26525198938992045,-85.83941605839416,1.3892867373245488,-100.0,0.0
48,2289551.75,247.0,48,127,0,19298980.01,2453.75,655.0,1219.0,25.0,-88.13641058328658,0.5683948532875841,-89.93377483443709,2.166571641594667,-92.67175572519083,0.9793919608243216,-89.58162428219852,1.818963047837296,-100.0,0.0
16,2283449.9,146.0,68,90,0,21706486.27,1372.0,538.0,874.0,0.0,-89.48033379701855,0.5668800326963775,-89.35860058309038,1.2806455857199246,-87.36059479553903,1.3874719445011223,-89.7025171624714,1.2890289315382413,0.0,0.0
84,2161986.9,243.5,127,125,48,15974203.09,2216.0,861.0,1197.0,233.0,-86.46576052765083,0.5367261197896831,-89.01173285198556,2.135871233717819,-85.24970963995354,2.591307896347684,-89.55722639933167,1.7903179604697794,-79.39914163090128,3.1148604802076574
85,2121908.87,208.75,103,124,7,20688863.47,2024.0,939.0,1207.0,143.0,-89.74371466525028,0.5267765102288137,-89.68626482213439,1.831060041226262,-89.03088391906283,2.1016119159355235,-89.72659486329744,1.7759954167860212,-95.1048951048951,0.45425048669695
33,1742377.8,168.0,55,87,0,14429134.069999998,1334.75,576.0,693.0,31.0,-87.9245851376305,0.43255566247958516,-87.41337329087844,1.4736195780886803,-90.45138888888889,1.1222199551112018,-87.44588744588745,1.2460613004869665,-100.0,0.0
19,1422050.7000000002,171.25,44,85,0,13138771.01,1372.75,372.0,734.0,0.0,-89.17668403751256,0.3530325527667179,-87.52504097614278,1.5021270996886102,-88.17204301075269,0.8977759640889614,-88.41961852861036,1.21741621311945,0.0,0.0
