country_origin,hs_code,hs_description,period_value,ytd_value,share_of_total,period_value_teu,ytd_value_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,share_of_total_shipment,period_value_container,ytd_value_container,share_of_total_container,period_value_vrac,ytd_value_vrac,share_of_total_vrac
ARGENTINA,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",25638.0,25638.0,0.006364786141473797,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
ARGENTINA,0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",117700.0,117700.0,0.029219725752846006,5.0,5.0,0.043857725538353584,1,1,0.020403999183840033,5,5,0.07161271841879117,0,0,0.0
ARGENTINA,2205,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances",24578.95,24578.95,0.006101870673686613,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
BANGLADESH,6305,"Sacks and bags, of a kind used for the packing of goods",19520.0,19520.0,0.004845956216614733,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
BELGIUM,0203,"Meat of swine; fresh, chilled or frozen",258191.47,258191.47,0.06409756962722317,18.0,18.0,0.1578878119380729,7,7,0.14282799428688023,9,9,0.1289028931538241,0,0,0.0
BELGIUM,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",336780.0,336780.0,0.08360764009382735,24.0,24.0,0.21051708258409718,3,3,0.0612119975515201,12,12,0.17187052420509882,0,0,0.0
BELGIUM,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",232448.0,232448.0,0.05770659993031053,16.0,16.0,0.14034472172273146,8,8,0.16323199347072026,8,8,0.11458034947006589,0,0,0.0
BELGIUM,1107,Malt; whether or not roasted,1890382.68,1890382.68,0.4692987551192018,150.0,150.0,1.3157317661506074,8,8,0.16323199347072026,75,75,1.0741907762818677,0,0,0.0
BELGIUM,1901,"Malt extract; flour/groats/meal/starch/malt extract products, no cocoa (or less than 40% by weight) and food preparations of goods of headings 04.01 to 04.04, no cocoa (or less than 5% by weight), wei",58460.740000000005,58460.740000000005,0.014513226763877953,6.0,6.0,0.052629270646024295,3,3,0.0612119975515201,3,3,0.042967631051274706,0,0,0.0
BELGIUM,2106,Food preparations not elsewhere specified or included,120348.0,120348.0,0.029877107518296614,6.0,6.0,0.052629270646024295,1,1,0.020403999183840033,6,6,0.08593526210254941,0,0,0.0
