HS_Code,Description,Period_kg,Prior_kg,YTD_kg,Period_teu,Prior_teu,YTD_teu,Period_shipment,Prior_shipment,YTD_shipment,Period_container,Prior_container,YTD_container,Period_vrac,Prior_vrac,YTD_vrac,YoY_Pct_kg,YoY_Pct_teu,YoY_Pct_shipment,YoY_Pct_container,YoY_Pct_vrac,Share_kg,Share_teu,Share_shipment,Share_container,Share_vrac
2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c,",82949607.27,668409424.65,82949607.27,110.0,778.0,110.0,58,458.0,58,59,383.0,59,18,196.0,18,-87.59000034844885,-85.8611825192802,-87.33624454148472,-84.59530026109661,-90.81632653061224,20.592733863514713,0.9648699618437788,1.183431952662722,0.8450300773417359,1.1680726800778716
2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cem",78539461.0,803629344.0,78539461.0,1.0,5.0,1.0,5,69.0,5,1,5.0,1,4,68.0,4,-90.22690478061986,-80.0,-92.7536231884058,-80.0,-94.11764705882354,19.497888795211086,0.008771545107670716,0.10201999591920016,0.014322543683758236,0.25957170668397145
1006,Rice,42330216.36,475376374.83,42330216.36,469.0,1817.5,469.0,38,278.0,38,461,1598.0,461,5,129.0,5,-91.09543119909193,-74.19532324621733,-86.33093525179856,-71.15143929912391,-96.12403100775194,10.50872823362647,4.1138546554975655,0.7753519689859213,6.602692638212546,0.3244646333549643
1001,Wheat and meslin,27253035.97,220742705.3,27253035.97,18.0,47.0,18.0,11,43.0,11,13,47.0,13,9,35.0,9,-87.65393586485142,-61.702127659574465,-74.4186046511628,-72.34042553191489,-74.28571428571429,6.765728436498281,0.1578878119380729,0.22444399102224036,0.18619306788885706,0.5840363400389358
1701,"Cane or beet sugar and chemically pure sucrose, in solid form",26394539.0,127876944.86,26394539.0,888.25,4785.5,888.25,81,375.0,81,630,3329.0,630,11,47.0,11,-79.35942321041779,-81.43872113676731,-78.4,-81.07539801742264,-76.59574468085107,6.552601452445186,7.791324941888513,1.6527239338910427,9.023202520767688,0.7138221933809215
9999,Commodities not specified according to kind,16638012.709999999,282000274.34000003,16638012.709999999,2105.5,21930.0,2105.5,1617,15633.0,1617,1081,11100.0,1081,624,5989.0,624,-94.10000123264419,-90.39899680802553,-89.65649587411245,-90.26126126126127,-89.58089831357489,4.1304857133268165,18.468488224200694,32.993266680269336,15.482669722142653,40.493186242699544
6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. ki",11000671.76,47582522.74,11000671.76,417.0,1809.0,417.0,65,312.0,65,410,1768.0,410,0,0.0,0,-76.88085640160408,-76.9485903814262,-79.16666666666667,-76.80995475113122,0.0,2.730982259339659,3.6577343098986885,1.3262599469496021,5.872242910340876,0.0
0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowl",9346533.35,81012931.44,9346533.35,687.5,6150.5,687.5,202,2025.0,202,343,2989.0,343,0,1.0,0,-88.46291180449106,-88.82204698804975,-90.0246913580247,-88.52459016393442,-100.0,2.320332550780196,6.030437261523617,4.121607835135687,4.912632483529075,0.0
2711,Petroleum gases and other gaseous hydrocarbons,7999299.91,61155825.01,7999299.91,22.0,212.0,22.0,13,110.0,13,11,106.0,11,9,74.0,9,-86.91980705240753,-89.62264150943396,-88.18181818181819,-89.62264150943396,-87.83783783783784,1.985873828249497,0.19297399236875576,0.26525198938992045,0.15754798052134059,0.5840363400389358
2709,Petroleum oils and oils obtained from bituminous minerals; crude,6284558.35,35201637.78,6284558.35,2.0,2.0,2.0,3,11.0,3,1,1.0,1,2,10.0,2,-82.1469717139962,0.0,-72.72727272727273,0.0,-80.0,1.560179026888347,0.017543090215341433,0.0612119975515201,0.014322543683758236,0.12978585334198572
