country,hs_code,hs_desc,period_value,ytd_value,prev_year_value,yoy_change_pct,share_of_total,period_value_teu,ytd_value_teu,prev_year_value_teu,yoy_change_pct_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,prev_year_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,period_value_container,ytd_value_container,prev_year_value_container,yoy_change_pct_container,share_of_total_container,period_value_vrac,ytd_value_vrac,prev_year_value_vrac,yoy_change_pct_vrac,share_of_total_vrac,anomaly_score_weight_kg,is_anomaly_weight_kg,zscore_weight_kg,is_significant_weight_kg,metric
US VIRGIN ISLANDS,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents",55437537.0,55437537.0,519881326.0,-89.33650157690026,13.762698619823734,0.0,0.0,0.0,0.0,0.0,16,16,181.0,-91.16022099447514,0.3264639869414405,0,0,0.0,0.0,0.0,16,16,181.0,-91.16022099447514,1.0382868267358858,-0.82350943484316,-1,0.2745835502863352,False,weight_kg
TURKEY,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",38103772.0,38103772.0,449916098.0,-91.53091605982056,9.45948825819008,1.0,1.0,5.0,-80.0,0.0087715451076707,3,3,29.0,-89.65517241379311,0.0612119975515201,1,1,5.0,-80.0,0.0143225436837582,2,2,28.0,-92.85714285714286,0.1297858533419857,-0.7864484571416425,-1,0.2938623838646595,False,weight_kg
EGYPT,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",32935689.0,32935689.0,236529279.0,-86.07542831938366,8.176480884120874,0.0,0.0,0.0,0.0,0.0,1,1,25.0,-96.0,0.02040399918384,0,0,0.0,0.0,0.0,1,1,25.0,-96.0,0.0648929266709928,-0.7790342234697156,-1,0.24593368076181374,False,weight_kg
USA,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents",27275710.42,27275710.42,136873463.38,-80.072316615329,6.771357503708107,88.0,88.0,531.0,-83.42749529190208,0.771895969475023,36,36,213.0,-83.09859154929578,0.7345439706182412,48,48,259.0,-81.46718146718146,0.6874820968203953,2,2,11.0,-81.81818181818181,0.1297858533419857,-0.7706463639577195,-1,0.19319387595495466,False,weight_kg
USA,1006,Rice,30570331.0,30570331.0,345013808.84,-91.13938914422496,7.589266677941603,10.0,10.0,22.5,-55.55555555555556,0.0877154510767071,6,6,85.0,-92.94117647058825,0.1224239951030402,10,10,6.0,66.66666666666667,0.1432254368375823,5,5,81.0,-93.82716049382717,0.3244646333549643,-0.7668354452004077,-1,0.29042265891481456,False,weight_kg
USA,1001,Wheat and meslin,27253035.97,27253035.97,220742705.3,-87.65393586485142,6.76572843649828,18.0,18.0,47.0,-61.70212765957447,0.1578878119380729,11,11,43.0,-74.4186046511628,0.2244439910222403,13,13,47.0,-72.34042553191489,0.186193067888857,9,9,35.0,-74.28571428571429,0.5840363400389358,-0.761664653678192,-1,0.25980151863294554,False,weight_kg
JAPAN,9999,Commodities not specified according to kind,83707.6,83707.6,3610.0,2218.770083102493,0.0207809100716137,8.0,8.0,1.0,700.0,0.0701723608613657,3,3,1.0,200.0,0.0612119975515201,4,4,1.0,300.0,0.0572901747350329,0,0,0.0,0.0,0.0,-0.7480216584622854,-1,20.003081892320424,True,weight_kg
COLOMBIA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",12120498.96,12120498.96,47869824.84,-74.68029390015208,3.008986028877275,684.25,684.25,2677.0,-74.43967127381397,6.001929739923687,53,53,182.0,-70.87912087912088,1.0814119567435216,465,465,1882.0,-75.2922422954304,6.65998281294758,0,0,0.0,0.0,0.0,-0.7266577181647683,-1,0.1458227391959123,False,weight_kg
INDIA,3203,"Colouring matter of vegetable or animal origin (including dyeing extracts, not animal black); whether or not chemically defined; preparations based on colouring matter of vegetable or animal origin",604800.0,604800.0,109728.0,451.1811023622048,0.1501452008098663,25.0,25.0,8.0,212.5,0.2192886276917679,2,2,8.0,-75.0,0.04080799836768,25,25,8.0,212.5,0.3580635920939559,0,0,0.0,0.0,0.0,-0.720865006476051,-1,4.474085861806284,True,weight_kg
USA,9999,Commodities not specified according to kind,9451551.08,9451551.08,207398072.05,-95.44279703925048,2.346403827498857,1223.75,1223.75,13654.0,-91.03742493042331,10.73417832551204,1227,1227,12434.0,-90.13189641306096,25.03570699857172,620,620,6856.0,-90.95682613768962,8.879977083930106,624,624,5971.0,-89.54948919778931,40.49318624269954,-0.6857674196608523,-1,0.328229866839106,False,weight_kg
