country,metric,current_value,prior_value,yoy_pct,share_current,share_prior,share_change_pp
USA,weight_kg,115478786.01999994,108621058.49,6.31,28.67,37.74,-9.07
EGYPT,weight_kg,36142252.980000004,374145.5,9559.95,8.97,0.13,8.84
BRAZIL,weight_kg,9939862.809999999,21299247.529999997,-53.33,2.47,7.4,-4.93
USA,teu,2490.25,1991.0,25.08,21.84,26.08,-4.24
BRAZIL,container,381.0,417.0,-8.63,5.46,9.34,-3.88
USA,container,1391.0,1060.0,31.23,19.92,23.75,-3.83
COLOMBIA,teu,817.5,838.5,-2.5,7.17,10.98,-3.81
PAKISTAN,container,257.0,0.0,0.0,3.68,0.0,3.68
BRAZIL,teu,632.75,659.75,-4.09,5.55,8.64,-3.09
INDONESIA,weight_kg,6943259.3,13576250.129999999,-48.86,1.72,4.72,-3.0
COLOMBIA,container,544.0,463.0,17.49,7.79,10.37,-2.58
PAKISTAN,teu,265.25,0.0,0.0,2.33,0.0,2.33
INDIA,shipment,174.0,175.0,-0.57,3.55,5.77,-2.22
PAKISTAN,weight_kg,6679423.78,11059950.0,-39.61,1.66,3.84,-2.18
DOMINICAN REPUBLIC,weight_kg,16900792.21,6248779.43,170.47,4.2,2.17,2.03
NETHERLANDS,container,215.0,54.0,298.15,3.08,1.21,1.87
BRAZIL,shipment,224.0,192.0,16.67,4.57,6.33,-1.76
CHINA,container,1612.0,1108.0,45.49,23.09,24.82,-1.73
CHINA,weight_kg,37990576.14,22357854.370000005,69.92,9.43,7.77,1.66
TURKEY,weight_kg,38493493.42,32044102.24,20.13,9.56,11.13,-1.57
NETHERLAND ANTILLES,weight_kg,6265543.0,0.0,0.0,1.56,0.0,1.56
INDONESIA,vrac,0.0,12.0,-100.0,0.0,1.55,-1.55
NETHERLANDS,teu,311.25,95.75,225.07,2.73,1.25,1.48
BRAZIL,vrac,0.0,11.0,-100.0,0.0,1.42,-1.42
US VIRGIN ISLANDS,weight_kg,55437537.0,35613780.0,55.66,13.76,12.37,1.39
GUATEMALA,weight_kg,8251974.870000001,1981380.6,316.48,2.05,0.69,1.36
PANAMA,container,135.0,26.0,419.23,1.93,0.58,1.35
NICARAGUA,weight_kg,5225167.04,0.0,0.0,1.3,0.0,1.3
PANAMA,teu,209.25,50.0,318.5,1.84,0.65,1.19
COSTA RICA,teu,18.0,102.0,-82.35,0.16,1.34,-1.18
USA,vrac,1471.0,729.0,101.78,95.46,94.31,1.15
BELGIUM,teu,280.5,101.5,176.35,2.46,1.33,1.13
BELGIUM,container,153.0,52.0,194.23,2.19,1.16,1.03
COSTA RICA,container,9.0,51.0,-82.35,0.13,1.14,-1.01
VIETNAM,container,86.0,15.0,473.33,1.23,0.34,0.89
HAITI,teu,100.0,0.0,0.0,0.88,0.0,0.88
INDONESIA,container,277.0,142.0,95.07,3.97,3.18,0.79
DOMINICAN REPUBLIC,vrac,24.0,6.0,300.0,1.56,0.78,0.78
USA,shipment,2423.0,1522.0,59.2,49.44,50.21,-0.77
NETHERLANDS,weight_kg,4696125.09,1180481.5899999999,297.81,1.17,0.41,0.76
EGYPT,container,74.0,14.0,428.57,1.06,0.31,0.75
HAITI,container,52.0,0.0,0.0,0.74,0.0,0.74
FRANCE,teu,183.25,67.5,171.48,1.61,0.88,0.73
FRANCE,shipment,92.0,35.0,162.86,1.88,1.15,0.73
CANADA,shipment,97.0,39.0,148.72,1.98,1.29,0.69
INDONESIA,shipment,49.0,51.0,-3.92,1.0,1.68,-0.68
CANADA,teu,192.25,79.25,142.59,1.69,1.04,0.65
INDONESIA,teu,299.0,151.0,98.01,2.62,1.98,0.64
NETHERLANDS,shipment,73.0,26.0,180.77,1.49,0.86,0.63
FRANCE,container,97.0,35.0,177.14,1.39,0.78,0.61
COLOMBIA,weight_kg,13684968.32,11478211.870000001,19.23,3.4,3.99,-0.59
DOMINICAN REPUBLIC,shipment,88.0,37.0,137.84,1.8,1.22,0.58
SURINAME,container,40.0,0.0,0.0,0.57,0.0,0.57
CHINA,shipment,1027.0,652.0,57.52,20.95,21.51,-0.56
MALAYSIA,container,10.0,31.0,-67.74,0.14,0.69,-0.55
PANAMA,weight_kg,2711089.8200000003,375457.15,622.08,0.67,0.13,0.54
CHINA,teu,3049.25,2002.75,52.25,26.75,26.23,0.52
CANADA,container,97.0,39.0,148.72,1.39,0.87,0.52
