country,hs_code,hs_description,metric,current_value,prior_value,yoy_pct,abs_delta,is_ath
USA,9999,Commodities not specified according to kind,weight_kg,9451551.08,62375526.45,-84.85,52923975.370000005,False
EGYPT,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydr",weight_kg,32935689.0,0.0,0.0,32935689.0,True
USA,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weigh",weight_kg,27275710.419999998,0.0,0.0,27275710.419999998,True
USA,1001,Wheat and meslin,weight_kg,27253035.97,7083000.0,284.77,20170035.97,False
US VIRGIN ISLANDS,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weigh",weight_kg,55437537.0,35613780.0,55.66,19823757.0,False
BRAZIL,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",weight_kg,130885.0,14774987.8,-99.11,14644102.8,False
DOMINICAN REPUBLIC,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydr",weight_kg,7500000.0,0.0,0.0,7500000.0,False
TURKEY,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydr",weight_kg,38103772.0,31826550.0,19.72,6277222.0,False
NETHERLAND ANTILLES,2709,Petroleum oils and oils obtained from bituminous minerals; crude,weight_kg,6264943.0,0.0,0.0,6264943.0,True
GUATEMALA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",weight_kg,7739668.0,1873198.6,313.18,5866469.4,False
INDONESIA,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",weight_kg,5324995.67,10604873.02,-49.79,5279877.35,False
NICARAGUA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",weight_kg,5225167.04,0.0,0.0,5225167.04,False
USA,1006,Rice,weight_kg,30570331.0,25888115.0,18.09,4682216.0,False
CHINA,7217,Wire of iron or non-alloy steel,weight_kg,4761493.0,84150.0,5558.34,4677343.0,True
PAKISTAN,1006,Rice,weight_kg,6470495.2,11059950.0,-41.5,4589454.8,False
DOMINICAN REPUBLIC,2711,Petroleum gases and other gaseous hydrocarbons,weight_kg,7653941.9,4190260.0,82.66,3463681.9000000004,True
USA,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gal",weight_kg,7077394.05,3623947.84,95.3,3453446.21,True
INDIA,3204,Synthetic organic colouring matter and preparations based thereon; synthetic organic products used a,weight_kg,3265423.0,967248.0900000001,237.6,2298174.91,True
CHINA,8711,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars",weight_kg,3072409.84,794233.98,286.84,2278175.86,True
BRAZIL,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite ",weight_kg,3218902.94,983616.5,227.25,2235286.44,False
INDIA,1006,Rice,weight_kg,4230000.12,2115002.4,100.0,2114997.72,True
PERU,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite ",weight_kg,2206710.01,129050.0,1609.97,2077660.0099999998,True
USA,2815,Sodium hydroxide (caustic soda); potassium hydroxide (caustic potash) peroxides of sodium or potassi,weight_kg,2000817.0,0.0,0.0,2000817.0,True
NETHERLANDS,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,weight_kg,2251000.76,520242.57999999996,332.68,1730758.1799999997,False
INDONESIA,1516,"Animal or vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter-esterifi",weight_kg,21504.26,1581711.45,-98.64,1560207.19,False
VIETNAM,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite ",weight_kg,1536648.0,0.0,0.0,1536648.0,False
CHINA,4820,"Registers, account books, diaries and similar; albums for samples or collections, of paper or paperb",weight_kg,1392286.38,26100.0,5234.43,1366186.38,True
CHINA,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",weight_kg,145400.0,1480600.0,-90.18,1335200.0,False
CHINA,6309,Textiles; worn clothing and other worn articles,weight_kg,2326837.32,1022788.0,127.5,1304049.3199999998,True
PANAMA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",weight_kg,1178320.0,0.0,0.0,1178320.0,True
INDIA,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite ",weight_kg,2575554.23,1498431.95,71.88,1077122.28,True
COLOMBIA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",weight_kg,12120498.96,11051610.99,9.67,1068887.9700000007,True
PERU,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,weight_kg,2480440.0,3547970.09,-30.09,1067530.0899999999,False
SURINAME,1006,Rice,weight_kg,1040000.0,0.0,0.0,1040000.0,True
EGYPT,7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot",weight_kg,1003740.0,0.0,0.0,1003740.0,True
DOMINICAN REPUBLIC,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solut,weight_kg,447940.8,1445558.4,-69.01,997617.5999999999,False
CHINA,8455,Metal-rolling mills and rolls therefor,weight_kg,1013082.0,23620.0,4189.09,989462.0,True
CHINA,7228,"Alloy steel bars, rods, shapes and sections; hollow drill bars and rods, of alloy or non-alloy steel",weight_kg,1040742.0,52942.0,1865.82,987800.0,True
CHINA,8714,Vehicles; parts and accessories of heading no. 8711 to 8713,weight_kg,1415240.25,429652.99,229.39,985587.26,True
BELGIUM,1107,Malt; whether or not roasted,weight_kg,1890382.68,952254.48,98.52,938128.2,True
USA,4407,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of ",weight_kg,933290.0,0.0,0.0,933290.0,False
BRAZIL,0203,"Meat of swine; fresh, chilled or frozen",weight_kg,1509104.04,577815.7,161.17,931288.3400000001,True
CHINA,7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot",weight_kg,854467.0,0.0,0.0,854467.0,True
COSTA RICA,7010,"Carboys, bottles, flasks, jars, pots, phials, ampoules, containers of glass of a kind used for the c",weight_kg,30318.0,870156.0,-96.52,839838.0,False
NETHERLANDS,0203,"Meat of swine; fresh, chilled or frozen",weight_kg,1071870.1,252490.4,324.52,819379.7000000001,True
INDIA,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafe",weight_kg,669045.54,1451605.4,-53.91,782559.8599999999,False
CHINA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,weight_kg,721892.09,1482486.3,-51.31,760594.2100000001,False
PERU,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",weight_kg,789035.0,28540.0,2664.66,760495.0,True
USA,8702,Vehicles; public transport passenger type,weight_kg,2098745.52,1347551.47,55.75,751194.05,False
CHINA,9999,Commodities not specified according to kind,weight_kg,4611995.97,5328391.33,-13.44,716395.3600000003,False
USA,3901,"Polymers of ethylene, in primary forms",weight_kg,825309.0,1476208.32,-44.09,650899.3200000001,False
CHINA,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite ",weight_kg,767951.58,135000.0,468.85,632951.58,True
EGYPT,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite ",weight_kg,651585.0,25700.0,2435.35,625885.0,True
CHINA,7010,"Carboys, bottles, flasks, jars, pots, phials, ampoules, containers of glass of a kind used for the c",weight_kg,32403.0,643008.1,-94.96,610605.1,False
CHINA,7308,"Structures of iron or steel and parts thereof; plates, rods, angles, shapes, sections, tubes and the",weight_kg,726828.05,136450.0,432.67,590378.05,True
CHINA,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,weight_kg,158390.41999999998,738772.5299999999,-78.56,580382.1099999999,False
INDIA,3203,"Colouring matter of vegetable or animal origin (including dyeing extracts, not animal black); whethe",weight_kg,604800.0,41148.0,1369.82,563652.0,True
BRAZIL,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gal",weight_kg,987480.44,1546582.1,-36.15,559101.6600000001,False
NETHERLANDS,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",weight_kg,556143.0,58086.4,857.44,498056.6,True
CANADA,9999,Commodities not specified according to kind,weight_kg,859507.0,364823.0,135.6,494684.0,False
INDIA,1704,"Sugar confectionery (including white chocolate), not containing cocoa",weight_kg,103350.36,581189.2,-82.22,477838.83999999997,False
EGYPT,7220,Stainless steel; flat-rolled products of width less than 600mm,weight_kg,474940.0,0.0,0.0,474940.0,True
INDIA,8711,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars",weight_kg,471182.98,0.0,0.0,471182.98,True
USA,6309,Textiles; worn clothing and other worn articles,weight_kg,82435.6,552723.23,-85.09,470287.63,False
