section_num,section_name,share_of_total,period_kg,ytd_kg,prev_ytd_kg,yoy_pct_kg,period_teu,ytd_teu,prev_ytd_teu,yoy_pct_teu,period_shipment,ytd_shipment,prev_ytd_shipment,yoy_pct_shipment,period_container,ytd_container,prev_ytd_container,yoy_pct_container,period_vrac,ytd_vrac,prev_ytd_vrac,yoy_pct_vrac
I,Live Animals; Animal Products,4.808353793438994,19368533.65,19368533.65,13676440.399999999,41.619698426792404,1329.0,1329.0,919.0,44.613710554951034,400,400,294,36.054421768707485,779,779,549,41.89435336976321,0,0,1,-100.0
II,Vegetable Products,18.664768243855544,75183567.46,75183567.46,51210301.08,46.813367378077515,880.5,880.5,415.75,111.78592904389657,141,141,88,60.22727272727273,704,704,280,151.42857142857142,14,14,7,100.0
III,Animal or Vegetable Fats and Oils and Their Cleavage Product,1.7653931602539992,7111181.5600000005,7111181.5600000005,23301058.63,-69.48129407801073,304.25,304.25,231.5,31.425485961123112,52,52,81,-35.80246913580247,286,286,198,44.44444444444444,4,4,24,-83.33333333333333
IV,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacc",9.919418695064053,39956418.15,39956418.15,42942799.660000004,-6.954324202531525,1889.25,1889.25,2226.25,-15.137563166760247,369,369,420,-12.142857142857142,1283,1283,1373,-6.5549890750182085,13,13,14,-7.142857142857143
V,Mineral Products,43.773195385258354,176322842.33,176322842.33,74594236.46,136.3759597225054,160.0,160.0,206.0,-22.33009708737864,84,84,93,-9.67741935483871,93,93,126,-26.19047619047619,33,33,19,73.6842105263158
VI,Products of the Chemical or Allied Industries,3.1078572245295044,12518762.1,12518762.1,4703757.39,166.1438731218236,728.0,728.0,302.5,140.6611570247934,249,249,119,109.24369747899159,484,484,198,144.44444444444446,37,37,1,3600.0
VII,Plastics and Articles Thereof Rubber and Articles Thereof,0.8975207598857096,3615304.07,3615304.07,3456374.98,4.598143746544533,431.5,431.5,357.25,20.78376487053884,128,128,102,25.49019607843137,219,219,180,21.666666666666668,0,0,0,0.0
VIII,"Raw Hides and Skins, Leather, Furskins and Articles Thereof;",0.03230753330521559,130138.0,130138.0,30060.0,332.92747837658015,16.0,16.0,4.0,300.0,8,8,1,700.0,8,8,2,300.0,0,0,0,0.0
IX,Wood and Articles of Wood; Wood Charcoal; Cork and Articles ,0.7042373434172081,2836738.99,2836738.99,1452707.0,95.27261794704647,160.25,160.25,110.25,45.35147392290249,31,31,15,106.66666666666667,82,82,55,49.09090909090909,4,4,0,400.0
X,Pulp of Wood or of Other Fibrous Cellulosic Material; Waste ,0.5863378254242475,2361827.85,2361827.85,1674549.56,41.04257684675513,256.0,256.0,168.5,51.92878338278932,66,66,38,73.6842105263158,135,135,85,58.8235294117647,13,13,0,1300.0
XI,Textile and Textile Articles,1.3673606534025922,5507866.51,5507866.51,3921208.79,40.46348473068683,464.5,464.5,313.0,48.40255591054313,200,200,141,41.843971631205676,236,236,155,52.25806451612903,0,0,3,-100.0
XII,"Footwear, Headgear, Umbrellas, Sun Umbrellas, Walking Sticks",0.26961638752487577,1086041.98,1086041.98,1038025.52,4.625749470976394,136.0,136.0,114.25,19.037199124726477,68,68,57,19.29824561403509,68,68,57,19.29824561403509,0,0,0,0.0
XIII,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Simila",3.0393404978387424,12242769.82,12242769.82,5691203.54,115.11741293301206,524.25,524.25,378.0,38.69047619047619,90,90,67,34.32835820895522,472,472,250,88.8,0,0,1,-100.0
XV,Base Metals and Articles of Base Metal,3.235154873825181,13031529.86,13031529.86,8051210.8,61.85801345556621,416.0,416.0,216.0,92.5925925925926,106,106,66,60.60606060606061,236,236,161,46.58385093167702,7,7,1,600.0
XVI,Machinery and Mechanical Appliances; Electrical Equipment; P,1.0635026300184973,4283895.7700000005,4283895.7700000005,3051175.3000000003,40.401496105451564,452.25,452.25,323.5,39.799072642967545,230,230,139,65.46762589928058,249,249,191,30.36649214659686,55,55,29,89.65517241379311
XVII,"Vehicles, Aircraft, Vessels and Associated Transport Equipme",2.305683244997847,9287524.47,9287524.47,3733585.24,148.75619205094137,922.25,922.25,207.25,344.9939686369119,974,974,437,122.88329519450801,450,450,104,332.6923076923077,724,724,367,97.27520435967303
XVIII,"Optical, Photographic, Cinematographic, Measuring, Checking,",0.03408862081958448,137312.4,137312.4,82076.34000000001,67.29839561559393,24.0,24.0,13.0,84.61538461538461,12,12,5,140.0,13,13,7,85.71428571428571,3,3,0,300.0
XX,Miscellaneous Manufactured Articles,0.2949824385906855,1188218.99,1188218.99,1096103.32,8.40392217770127,201.0,201.0,175.0,14.857142857142858,67,67,44,52.27272727272727,104,104,88,18.181818181818183,1,1,0,100.0
XXI,"Works of Art, Collectors' Pieces and Antiques",0.00039497522236854723,1591.0,1591.0,0.0,159100.0,0.0,0.0,0.0,0.0,9,9,0,900.0,0,0,0,0.0,9,9,0,900.0
XXII,Special Classification Provisions; Temporary Legislation; Te,4.1304857133268165,16638012.709999999,16638012.709999999,68776537.47,-75.80859211288818,2105.5,2105.5,1898.0,10.932560590094837,1617,1617,1144,41.34615384615385,1081,1081,966,11.904761904761905,624,624,324,92.5925925925926
