Port_of_Origin,Period_kg,Prior_kg,YoY_Pct_kg
ST CROIX,55437537.0,526378215.8,-89.46811715683467
HOUSTON - TX,44269297.78,302378010.38,-85.35961734639152
ALEXANDRIA,35363485.8,131725427.68,-73.15363751491599
NEW ORLEANS - LA,29612652.04,385103034.64,-92.31045996101216
ISKENDERUN,20077000.0,294238498.9,-93.17662369980232
ASBAS,18000172.0,43563590.0,-58.68069642561598
DARROW - LA,15900372.0,105826776.0,-84.97509552780858
RIO HAINA,15127230.620000001,193845627.12,-92.1962487136037
TIANJIN,13663944.52,70446978.88,-80.60393115895675
BUENAVENTURA,11504343.38,49804885.19,-76.90117478212782
PORT EVERGLADES - FL,9644392.78,221830855.27,-95.65236640851364
SAN PEDRO DE MACORIS,7777388.9,58239986.0,-86.64596365115885
DUMAI,7499582.0,60903718.0,-87.68616720575253
QASIM,6679423.78,63270722.62,-89.44310495690684
NINGBO,6520221.64,72840115.5,-91.04858415552623
MIAMI - FL,6372658.42,86617335.81,-92.64274482653359
WILLEMSTAD,6265543.0,28936083.0,-78.34695525306586
SANTO THOMAS,5487478.43,8466791.8,-35.18822052527618
CALLAO,5418810.01,56219320.85,-90.36130296831931
BELAWAN,5417076.2700000005,23196213.45,-76.64672175190731
CORINTO,5225167.04,6872622.8,-23.971281531702857
ROTTERDAM,4667069.09,27758365.939999998,-83.18680177324588
SANTOS,4446150.18,38046243.58,-88.31382611886227
QINGDAO,4150373.31,53225113.76,-92.20222745090851
HAZIRA,3960028.63,8712536.23,-54.54792352697052
ANTWERP,3648993.63,18581589.7,-80.36231727794528
YANTIAN,3543689.89,26193380.67,-86.47104803062444
KOLKATA,3477038.89,11149645.85,-68.81480419398252
NHAVA SHEVA,2990804.91,27190906.77,-89.00071654359175
MUNDRA,2954364.79,29581518.86,-90.01280223648395
NANSHA,2762606.29,19047705.87,-85.49638308752404
PUERTO QUETZAL,2734668.0,42247385.91,-93.52701252137662
SHANGHAI,2720558.33,28315061.18,-90.39183312123079
SAVANNAH - GA,2674963.38,12038930.540000001,-77.78072253916335
ITAJAI,2538635.97,9987378.94,-74.58155953377693
CARTAGENA,2180624.94,18047054.99,-87.91700395877167
MANZANILLO - PA,2115699.12,11934571.88,-82.27251767995553
FREEPORT - TX,2000817.0,0.0,0.0
NEW YORK,1993094.4,12409417.55,-83.93885617943447
XIAMEN,1986038.31,25316853.69,-92.15527200054693
PARANAGUA,1850636.58,24357707.64,-92.40225473040451
HAIPHONG,1834670.2,7019382.72,-73.86279857953093
LE HAVRE,1749404.64,15099094.49,-88.4138440145625
CAUCEDO,1496172.69,29249062.83,-94.88471579860187
JAKARTA,1098803.78,10449099.870000001,-89.48422549625799
JIUJIANG,1071754.8,1635249.41,-34.459245577712814
PARAMARIBO,1040000.0,4214500.0,-75.32328864634002
SHEKOU,1028066.57,3029567.72,-66.06556891885553
NORFOLK - VA,981452.63,7347378.92,-86.64213945290847
SAINT JOHN,901250.0,3777189.03,-76.13966383885214
KAOHSIUNG,797444.0,10888272.8,-92.67612031175413
PORT SAID,698153.58,38837782.03,-98.20238555471393
POINT LISAS,640169.99,909984.49,-29.650450415918627
HALDIA,626120.03,5303640.4,-88.19452333155921
MOBILE - AL,603373.98,25522987.01,-97.63595859777855
COLON,600782.5,69995425.56,-99.1416831954468
WILMINGTON - NC,589660.09,4181167.29,-85.89723756305384
PIPAVAV,584409.98,594246.51,-1.6552945342497725
OAKLAND - CA,577375.72,842473.37,-31.466591044889647
RIO GRANDE,559559.65,4937286.51,-88.6666562925472
BUSAN,547473.46,5055055.47,-89.16978333375242
VALENCIA,505360.92000000004,3593303.3,-85.93603495702686
GDANSK,470179.55,2538732.66,-81.4797533663903
SURABAYA,443024.25,4849728.3,-90.86496763127947
PORT-AU-PRINCE,422401.18,1509255.3800000001,-72.01261061597144
WUHAN,346014.0,458009.99,-24.452739557056386
JEBEL ALI,341028.3,2380036.65,-85.67130048186442
SHANTOU,290127.19,1159317.23,-74.97430535040009
DAKAR,274126.0,1458355.99,-81.20308060036837
LAEM CHABANG,262016.71,1209165.28,-78.33077790655716
PISCO,254515.0,1159400.0,-78.04769708469898
PORT KLANG,248674.16999999998,5250187.59,-95.26351838411168
BARCELONA,242940.99,872473.44,-72.15491281889338
JIANGMEN,225092.8,757394.36,-70.28063425241245
CHARLESTON - SC,223733.78999999998,2567004.13,-91.28424503158084
SUAPE,209499.36,10091864.33,-97.92407673003271
HALIFAX,198350.0,3728797.52,-94.68059075516656
ENNORE,197083.56,1362729.23,-85.53758474821883
FUZHOU,191675.02,1415949.75,-86.46314814491122
VERACRUZ,170861.54,2503308.69,-93.17457169055726
IMBITUBA,169529.99,3620384.26,-95.31734816458405
SAMSUN,168371.0,1563445.0,-89.23076923076924
BUENOS AIRES,167916.95,2598188.62,-93.53715320329592
TUTICORIN,153523.91999999998,1400330.88,-89.03659683631344
BASSENS,152429.56,572134.55,-73.35774251004419
ALTAMIRA,152085.4,3746949.6,-95.9410876516727
CHONGQING,151927.0,1128124.89,-86.53278539045442
DALIAN,144092.18,3146465.32,-95.42050633502612
SEMARANG,141675.0,841024.7,-83.15447810272397
FREDRIKSTAD,134940.0,642724.0,-79.00498503245561
VENICE,133220.0,158590.0,-15.997225550160794
YOKOHAMA,129687.0,269853.09,-51.941628683962826
HO CHI MINH,127860.0,2992718.55,-95.72763031792616
CHENNAI,120054.77,703852.73,-82.9431975066716
IZMIR,117779.95999999999,12456110.86,-99.05444033596213
ALGECIRAS,114967.91,382729.67,-69.96106677593092
ITAPOA,110228.04000000001,1733212.63,-93.64024712882458
DUNKERQUE,103888.0,857076.0,-87.87878787878788
ZHONGSHAN,99776.0,593003.34,-83.1744623900432
PUERTO MOIN,93455.76000000001,2938121.31,-96.81920008946125
MERSIN,89879.84,3382856.79,-97.34307877691742
HUTCHISON PORTS SOHAR,88839.8,205590.69,-56.78802381566987
SEATTLE - WA,87025.12,100992.13,-13.829800401278803
NANJING,86376.0,492177.51,-82.45023426608826
BREMERHAVEN,83754.0,989258.59,-91.53365956620098
GENOA,80700.0,322842.31,-75.00327636733859
QINZHOU,80685.0,609398.74,-86.75990042250497
DAMIETTA,80613.6,76358998.14,-99.89442815913824
CAI MEP,69731.28,548835.41,-87.2946827537968
CORONEL,68634.0,207403.0,-66.90790393581578
PORT OF SPAIN,64528.0,1766175.81,-96.34645658520257
NAPOLI,55100.0,197818.0,-72.14611410488429
HONG KONG,54622.92,9068396.61,-99.39765625226663
DUBLIN,53893.229999999996,676365.0,-92.03193098401012
LA SPEZIA,53710.0,308879.87,-82.6113627929201
DURBAN,50280.0,412799.11,-87.81974118112802
