Shipping_Line,Period_kg,Prior_kg,YoY_Pct_kg
PRIVATE CARRIER - RVAM,101494928.0,850487825.0,-88.06626914382932
NYK LINE,41018345.0,520303970.0,-92.11646511173075
CMA/CGM,36323427.04,227846275.57,-84.05792372548984
MEDITERRANEAN SHIPPING CO,34041657.32,244510890.92,-86.07765192302298
PRIVATE CARRIER - MOS,33322477.0,315855310.7,-89.4500817712545
PRIVATE CARRIER - TSA,23801693.9,264999824.56,-91.01822277070568
MAERSK LINE,23584420.07,76544351.54,-69.18855592149681
PRIVATE CARRIER - JHM,23005172.0,10617258.0,116.67714959926565
PRIVATE CARRIER - ADE,15900372.0,78303080.0,-79.69381025625046
EVERGREEN,14104555.36,210263323.03,-93.29195641125315
PRIVATE CARRIER - QSA,13050213.0,350537768.62,-96.27708790086267
ACCORDIA SHIPPING,11072349.85,113021643.8,-90.20333674354151
COSCO SHIPPING,8817730.69,47442723.93,-81.41394515413947
PRIVATE CARRIER - DEM,8323611.98,4551089.0,82.89275336078904
ZIM LINES,6575202.99,71045754.78,-90.7451148765176
SEABOARD MARINE,5977172.54,64822351.45,-90.7791488486646
HAPAG-LLOYD,5599698.37,63644414.73,-91.20158714043374
KING OCEAN SERVICES,3216583.78,77760507.62,-95.86347378836723
OCEAN NETWORK EXPRESS,2836269.0,24973837.49,-88.64303893570343
ANTILLEAN MARINE SHIPPING CORP,2356420.07,49720022.43,-95.26062146629647
PRIVATE CARRIER - APA,1851665.38,5781225.97,-67.97106029744069
PRIVATE CARRIER - VIA,1127324.0,97791010.06,-98.8472110071178
CROWLEY LINER SERVICES INC,1023081.9,32171828.080000002,-96.81994477449042
PRIVATE CARRIER - MAS,389245.0,1296376.67,-69.97439023644262
NATIONAL SHIPPING OF AMERICA,310441.67,10285187.040000001,-96.98166237723568
PRIVATE CARRIER - FAS,188168.0,281829.0,-33.233272658243116
PRIVATE CARRIER - TCA,120847.0,5318345.3,-97.72773309773625
AMERIJET,42149.0,2976097.0,-98.5837491183923
PRIVATE CARRIER - BCS,19836.0,109777.0,-81.93064120899642
