hs_code,hs_description,direction,q4_value,ytd_value,yoy_change_pct,share_of_total,ytd_value_teu,yoy_change_pct_teu,share_of_total_teu,ytd_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,ytd_value_container,yoy_change_pct_container,share_of_total_container,ytd_value_vrac,yoy_change_pct_vrac,share_of_total_vrac
0203,"Meat of swine; fresh, chilled or frozen",import,3648676.88,3648676.88,-66.2491228011466,0.9058057586605762,280.0,-70.8502024291498,2.4560326301478006,119,-69.56521739130434,2.4280759028769636,139,-67.85714285714286,1.9908335720423946,0,0.0,0.0
0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",import,9346533.35,9346533.35,-86.20908528549528,2.320332550780196,687.5,-85.96491228070175,6.030437261523618,202,-83.33333333333333,4.121607835135687,343,-85.71428571428571,4.912632483529075,0,0.0,0.0
0302,"Fish; fresh or chilled, excluding fish fillets and other fish meat of heading 0304",import,555821.78,555821.78,-86.50447401833972,0.1379860660922575,40.5,-86.84210526315789,0.355247576860664,13,-86.48648648648648,0.26525198938992045,20,-86.48648648648648,0.2864508736751647,0,0.0,0.0
0305,"Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption",import,84129.0,84129.0,-93.98453038674033,0.020885525130511316,6.0,-93.93939393939394,0.052629270646024295,3,-93.75,0.0612119975515201,3,-93.93939393939394,0.042967631051274706,0,0.0,0.0
0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,import,5504366.59,5504366.59,-72.50492078753871,1.366491777425048,294.0,-72.31329690346084,2.5788342616551905,48,-70.27027027027027,0.9793919608243216,259,-72.05882352941177,3.709538814093383,0,0.0,0.0
0405,Butter and other fats and oils derived from milk; dairy spreads,import,143540.83000000002,143540.83000000002,-84.14392842299216,0.03563486564941284,12.0,-84.0,0.10525854129204859,7,-83.87096774193549,0.14282799428688023,7,-83.87096774193549,0.10025780578630765,0,0.0,0.0
0406,Cheese and curd,import,85465.22,85465.22,-96.96248272840273,0.021217249700991075,9.0,-97.06959706959707,0.07894390596903644,8,-93.75,0.16323199347072026,8,-96.875,0.11458034947006589,0,0.0,0.0
0701,Potatoes; fresh or chilled,import,29844.6,29844.6,-93.48993757062024,0.007409099636392421,8.0,-94.28571428571429,0.07017236086136573,4,-75.0,0.08161599673536013,4,-94.28571428571429,0.057290174735032943,0,0.0,0.0
0702,Meat and edible meat offal,import,76178.56,76178.56,-47.94175024128136,0.01891178106581754,4.0,-50.0,0.035086180430682866,4,-50.0,0.08161599673536013,4,-50.0,0.057290174735032943,0,0.0,0.0
0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",import,2087626.0,2087626.0,-91.30717372825418,0.5182655836407043,150.5,-91.37466307277629,1.3201175387044428,60,-87.5,1.224239951030402,73,-91.30434782608695,1.045545688914351,0,0.0,0.0
0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",import,16640.0,16640.0,278.1818181818182,0.004130979069901084,1.0,0.0,0.008771545107670716,1,0.0,0.020403999183840033,1,0.0,0.014322543683758236,0,0.0,0.0
0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",import,488890.12,488890.12,-29.508303346912225,0.12136988300489358,26.0,-28.571428571428573,0.22806017279943863,3,0.0,0.0612119975515201,26,-28.571428571428573,0.3723861357777141,0,0.0,0.0
0906,Cinnamon and cinnamon-tree flowers,import,34464.0,34464.0,-90.23679953767575,0.008555893189006668,4.0,-90.47619047619048,0.035086180430682866,1,-92.3076923076923,0.020403999183840033,2,-90.47619047619048,0.028645087367516472,0,0.0,0.0
0907,"Cloves (whole fruit, cloves and stems)",import,25602.0,25602.0,-90.04755807146073,0.006355848927139877,2.0,-90.0,0.017543090215341433,1,-90.0,0.020403999183840033,1,-90.0,0.014322543683758236,0,0.0,0.0
1001,Wheat and meslin,import,27253035.97,27253035.97,-87.65393586485142,6.76572843649828,18.0,-61.702127659574465,0.1578878119380729,11,-74.4186046511628,0.22444399102224036,13,-72.34042553191489,0.18619306788885706,9,-74.28571428571429,0.5840363400389358
1005,Maize (corn),import,168371.0,168371.0,-89.53512149492049,0.04179910318379299,7.0,-89.55223880597015,0.061400815753695014,2,-84.61538461538461,0.040807998367680065,7,-89.55223880597015,0.10025780578630765,0,0.0,0.0
1006,Rice,import,42330216.36,42330216.36,-79.9221281328081,10.508728233626469,469.0,-81.91489361702128,4.113854655497566,38,-78.49462365591398,0.7753519689859212,461,-80.0,6.602692638212546,5,0.0,0.3244646333549643
1007,Grain sorghum,import,269745.0,269745.0,-40.21370798419671,0.066965802236206,12.0,-42.857142857142854,0.10525854129204859,1,-75.0,0.020403999183840033,12,-42.857142857142854,0.17187052420509882,0,0.0,0.0
1103,Cereal groats; meal and pellets,import,453600.0,453600.0,-82.73668563454302,0.11260890060739974,20.0,-82.75862068965517,0.17543090215341434,4,-71.42857142857143,0.08161599673536013,20,-82.75862068965517,0.2864508736751647,0,0.0,0.0
1107,Malt; whether or not roasted,import,1890382.68,1890382.68,-77.13154280052255,0.4692987551192018,150.0,-77.61194029850746,1.3157317661506074,8,-78.94736842105263,0.16323199347072026,75,-76.41509433962264,1.0741907762818677,0,0.0,0.0
1108,Starches; inulin,import,42300.0,42300.0,-98.13385097277981,0.010501226842356721,2.0,-98.13084112149532,0.017543090215341433,1,-96.96969696969697,0.020403999183840033,2,-98.13084112149532,0.028645087367516472,0,0.0,0.0
1209,"Seeds, fruit and spores; of a kind used for sowing",import,45401.729999999996,45401.729999999996,-60.19417475728155,0.01127124978168871,7.0,-50.0,0.06140081575369502,3,-50.0,0.0612119975515201,4,-50.0,0.057290174735032943,0,0.0,0.0
1301,"Lac; natural gums, resins, gum-resins and oleoresins (for example, balsams)",import,47448.0,47448.0,0.0,0.01177924849210737,4.0,0.0,0.035086180430682866,3,0.0,0.0612119975515201,3,0.0,0.042967631051274706,0,0.0,0.0
1507,"Soya-bean oil and its fractions; whether or not refined, but not chemically modified",import,22465.0,22465.0,-5.728073856483424,0.005577070000320183,1.0,0.0,0.008771545107670716,1,0.0,0.020403999183840033,1,0.0,0.014322543683758236,0,0.0,0.0
1509,"Olive oil and its fractions; whether or not refined, but not chemically modified",import,54000.0,54000.0,,0.013405821500880922,4.0,,0.035086180430682866,1,,0.020403999183840033,2,,0.028645087367516472,0,,0.0
1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",import,5485778.72,5485778.72,-93.5277095397056,1.3618772280305744,220.0,-78.98406374501992,1.9297399236875576,28,-88.20224719101124,0.5713119771475209,218,-76.47714604236343,3.1223145230592952,4,-100.0,0.25957170668397145
1515,"Fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined; but not chemically modified",import,1035837.04,1035837.04,-98.52931276347327,0.2571527122637195,49.0,-98.55072463768116,0.4298057102758651,13,-97.14285714285714,0.26525198938992045,41,-98.44961240310077,0.5872242910340876,0,0.0,0.0
1516,"Animal or vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",import,21504.26,21504.26,-99.81701013293713,0.005338560575343214,1.0,-95.83333333333333,0.008771545107670716,1,-95.0,0.020403999183840033,1,-91.66666666666667,0.014322543683758236,0,-100.0,0.0
1517,"Margarine; edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this chapter, other than edible fats or oils of heading no. 1516",import,491596.54000000004,491596.54000000004,0.6852564501604765,0.12204176788316051,29.25,12.5,0.25656769439936844,8,0.0,0.16323199347072026,23,0.0,0.3294185047264394,0,0.0,0.0
1601,"Sausages and similar products of meat, meat offal or blood; food preparations based on these products",import,1434134.45,1434134.45,-85.620650425209,0.3560324156474821,102.0,-86.51382333108563,0.894697600982413,51,-85.5907780979827,1.0406039583758417,51,-85.63218390804597,0.73044972787167,0,0.0,0.0
1602,"Prepared or preserved meat, meat offal or blood",import,74816.56,74816.56,0.0,0.01857365645685088,6.0,-33.333333333333336,0.052629270646024295,3,0.0,0.0612119975515201,3,0.0,0.042967631051274706,0,0.0,0.0
1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,import,774498.89,774498.89,-93.46073203101525,0.19227396059204457,38.0,-94.01408450704226,0.3333187140914872,14,-92.16867469879519,0.2856559885737605,36,-93.11740890688259,0.5156115726152964,0,0.0,0.0
1701,"Cane or beet sugar and chemically pure sucrose, in solid form",import,26394539.0,26394539.0,-99.34218450712108,6.552601452445185,888.25,-98.94957983193277,7.791324941888513,81,-97.77777777777777,1.6527239338910427,630,-98.63387978142076,9.023202520767688,11,-100.0,0.7138221933809215
1703,Molasses; resulting from the extraction or refining of sugar,import,336535.99,336535.99,-48.944037422673276,0.08354706315856013,14.0,-48.148148148148145,0.12280163150739003,2,-66.66666666666667,0.040807998367680065,14,-48.148148148148145,0.2005156115726153,0,0.0,0.0
