month,month_name,kg_2025,kg_2024,yoy_change_pct_kg,teu_2025,teu_2024,yoy_change_pct_teu,shipment_2025,shipment_2024,yoy_change_pct_shipment,container_2025,container_2024,yoy_change_pct_container,vrac_2025,vrac_2024,yoy_change_pct_vrac
1,Jan,402810077.67,312483411.48,28.906067609218102,11400.5,8579.0,32.88844853712554,4901,3351,46.2548492987168,6982,5025,38.9452736318408,1541,791,94.81668773704172
2,Feb,0.0,255230908.23000002,-99.99999999999999,0.0,6308.0,-100.0,0,2107,-100.0,0,3604,-100.0,0,211,-100.0
3,Mar,0.0,292776677.78,-100.0,0.0,7004.75,-100.0,0,2722,-100.0,0,4021,-100.0,0,552,-100.0
4,Apr,0.0,321267618.96000004,-100.0,0.0,7243.0,-100.0,0,3178,-100.0,0,4298,-100.0,0,946,-100.0
5,May,0.0,385809674.65,-100.0,0.0,6637.75,-100.0,0,2629,-100.0,0,3911,-100.0,0,625,-100.0
6,Jun,0.0,346892293.17999995,-100.0,0.0,9328.75,-100.0,0,3605,-100.0,0,5605,-100.0,0,816,-100.0
7,Jul,0.0,361582108.08000004,-100.00000000000001,0.0,7383.75,-100.0,0,3429,-100.0,0,4217,-100.0,0,1035,-100.0
8,Aug,0.0,370153691.30999994,-100.0,0.0,10782.5,-100.0,0,5199,-100.0,0,6278,-100.0,0,1767,-100.0
9,Sep,0.0,290814029.08000004,-100.0,0.0,8575.75,-100.0,0,3695,-100.0,0,4897,-100.0,0,1014,-100.0
10,Oct,0.0,414545898.22,-100.0,0.0,10521.75,-100.0,0,4069,-100.0,0,6132,-100.0,0,1026,-100.0
11,Nov,0.0,342730151.48,-100.0,0.0,9745.25,-100.0,0,4546,-100.0,0,5363,-100.0,0,1594,-100.0
12,Dec,0.0,397394607.95,-100.0,0.0,9365.75,-100.0,0,4892,-100.0,0,5407,-100.0,0,2102,-100.0
