Port_of_Origin,Period_kg,Prior_kg,YoY_Pct_kg,Share_kg,Period_teu,Prior_teu,YoY_Pct_teu,Share_teu,Period_shipment,Prior_shipment,YoY_Pct_shipment,Share_shipment,Period_container,Prior_container,YoY_Pct_container,Share_container,Period_vrac,Prior_vrac,YoY_Pct_vrac,Share_vrac,country
ST CROIX,55437537.0,526378215.8,-89.46811715683467,13.215301576185382,0.0,20.0,-100.0,0.0,16,185.0,-91.35135135135135,0.322061191626409,0,10.0,-100.0,0.0,16,184.0,-91.30434782608695,1.0309278350515463,US VIRGIN ISLANDS
HOUSTON - TX,44269297.78,302378010.38,-85.35961734639152,10.552996261876748,369.0,2938.0,-87.44043567052417,3.186666090936569,66,598.0,-88.96321070234113,1.328502415458937,276,1890.0,-85.39682539682539,3.898305084745763,3,41.0,-92.6829268292683,0.19329896907216496,USA
ALEXANDRIA,35363485.8,131725427.68,-73.15363751491599,8.430012495543394,39.0,109.0,-64.22018348623854,0.3368021071721577,10,35.0,-71.42857142857143,0.20128824476650561,36,72.0,-50.0,0.5084745762711864,4,17.0,-76.47058823529412,0.25773195876288657,EGYPT
NEW ORLEANS - LA,29612652.04,385103034.64,-92.31045996101216,7.059118214058485,88.0,512.5,-82.82926829268293,0.759963729003843,18,191.0,-90.57591623036649,0.36231884057971014,49,250.0,-80.4,0.692090395480226,4,56.0,-92.85714285714286,0.25773195876288657,USA
ISKENDERUN,20077000.0,294238498.9,-93.17662369980232,4.785992020985238,0.0,33.25,-100.0,0.0,1,26.0,-96.15384615384616,0.020128824476650563,0,26.0,-100.0,0.0,1,16.0,-93.75,0.06443298969072164,TURKEY
ASBAS,18000172.0,43563590.0,-58.68069642561598,4.290913959673351,0.0,0.0,0.0,0.0,2,5.0,-60.0,0.040257648953301126,0,0.0,0.0,0.0,2,5.0,-60.0,0.12886597938144329,TURKEY
DARROW - LA,15900372.0,105826776.0,-84.97509552780858,3.790359790939736,0.0,0.0,0.0,0.0,9,47.0,-80.85106382978722,0.18115942028985507,0,0.0,0.0,0.0,9,47.0,-80.85106382978722,0.5798969072164949,USA
RIO HAINA,15127230.620000001,193845627.12,-92.1962487136037,3.6060569331535377,14.0,1288.5,-98.91346526969345,0.12090332052333867,9,505.0,-98.21782178217822,0.18115942028985507,7,549.0,-98.72495446265937,0.09887005649717513,3,99.0,-96.96969696969697,0.19329896907216496,DOMINICAN REPUBLIC
TIANJIN,13663944.52,70446978.88,-80.60393115895675,3.2572361133588164,395.0,2878.0,-86.27519110493398,3.4112008290513405,90,637.0,-85.8712715855573,1.8115942028985508,231,2159.0,-89.30060213061603,3.2627118644067794,7,3.0,133.33333333333331,0.4510309278350515,CHINA
BUENAVENTURA,11504343.38,49804885.19,-76.90117478212782,2.742426439376119,684.25,3046.0,-77.53611293499671,5.9091497905781765,65,324.0,-79.93827160493827,1.3083735909822867,445,2013.0,-77.8936910084451,6.285310734463277,0,0.0,0.0,0.0,COLOMBIA
PORT EVERGLADES - FL,9644392.78,221830855.27,-95.65236640851364,2.2990480097787334,969.75,12811.75,-92.4307764356938,8.37471393410769,1037,9745.0,-89.35864545920985,20.873590982286636,494,6643.0,-92.56360078277886,6.977401129943503,592,4395.0,-86.5301478953356,38.144329896907216,USA
SAN PEDRO DE MACORIS,7777388.9,58239986.0,-86.64596365115885,1.8539882063803932,0.0,0.0,0.0,0.0,22,74.0,-70.27027027027027,0.44283413848631237,0,0.0,0.0,0.0,22,74.0,-70.27027027027027,1.4175257731958764,DOMINICAN REPUBLIC
DUMAI,7499582.0,60903718.0,-87.68616720575253,1.7877640888939834,0.0,0.0,0.0,0.0,10,81.0,-87.65432098765432,0.20128824476650561,0,0.0,0.0,0.0,10,81.0,-87.65432098765432,0.6443298969072164,INDONESIA
QASIM,6679423.78,63270722.62,-89.44310495690684,1.5922532707007548,265.25,723.0,-63.31258644536653,2.29068612634397,13,101.0,-87.12871287128714,0.2616747181964573,257,645.0,-60.15503875968993,3.629943502824859,0,42.0,-100.0,0.0,PAKISTAN
NINGBO,6520221.64,72840115.5,-91.04858415552623,1.5543023730684504,697.5,8125.5,-91.4159128669005,6.023576147502051,277,2725.0,-89.8348623853211,5.575684380032206,357,4085.0,-91.26070991432069,5.0423728813559325,0,1.0,-100.0,0.0,CHINA
MIAMI - FL,6372658.42,86617335.81,-92.64274482653359,1.5191259824966075,423.0,7021.5,-93.97564622943815,3.653007470098018,1055,10065.0,-89.51813214108296,21.235909822866343,249,3814.0,-93.47142108023073,3.516949152542373,857,7080.0,-87.89548022598869,55.21907216494846,USA
WILLEMSTAD,6265543.0,28936083.0,-78.34695525306586,1.493591612548683,4.0,7.0,-42.857142857142854,0.03454380586381105,3,12.0,-75.0,0.06038647342995169,1,4.0,-75.0,0.014124293785310734,2,8.0,-75.0,0.12886597938144329,NETHERLAND ANTILLES
SANTO THOMAS,5487478.43,8466791.8,-35.18822052527618,1.3081151557159234,30.0,241.5,-87.5776397515528,0.2590785439785828,12,60.0,-80.0,0.24154589371980675,21,179.0,-88.26815642458101,0.2966101694915254,5,6.0,-16.666666666666664,0.3221649484536082,GUATEMALA
CALLAO,5418810.01,56219320.85,-90.36130296831931,1.2917458520244527,264.0,2812.0,-90.61166429587483,2.279891187011529,61,597.0,-89.7822445561139,1.2278582930756845,230,2494.0,-90.77786688051323,3.248587570621469,0,0.0,0.0,0.0,PERU
BELAWAN,5417076.2700000005,23196213.45,-76.64672175190731,1.291332559908775,215.0,1001.0,-78.52147852147851,1.8567295651798437,23,113.0,-79.64601769911505,0.4629629629629629,215,920.0,-76.63043478260869,3.036723163841808,0,0.0,0.0,0.0,INDONESIA
CORINTO,5225167.04,6872622.8,-23.971281531702857,1.2455848862755916,8.0,32.0,-75.0,0.0690876117276221,7,16.0,-56.25,0.14090177133655393,8,32.0,-75.0,0.11299435028248588,6,7.0,-14.285714285714285,0.3865979381443299,NICARAGUA
ROTTERDAM,4667069.09,27758365.939999998,-83.18680177324588,1.112544475077294,309.25,1834.5,-83.14254565276642,2.6706679908458915,72,410.0,-82.4390243902439,1.4492753623188406,214,1303.0,-83.57636224098235,3.0225988700564974,0,0.0,0.0,0.0,NETHERLANDS
SANTOS,4446150.18,38046243.58,-88.31382611886227,1.0598814208089893,219.0,2169.75,-89.90667127549257,1.8912733710436547,52,443.0,-88.26185101580135,1.0466988727858293,166,1442.0,-88.4882108183079,2.344632768361582,0,2.0,-100.0,0.0,BRAZIL
QINGDAO,4150373.31,53225113.76,-92.20222745090851,0.9893735889709663,393.75,4323.5,-90.89279518908292,3.4004058897189,140,1270.0,-88.9763779527559,2.818035426731079,214,2337.0,-90.84296106118957,3.0225988700564974,2,1.0,100.0,0.12886597938144329,CHINA
HAZIRA,3960028.63,8712536.23,-54.54792352697052,0.9439988756314738,168.0,406.0,-58.620689655172406,1.4508398462800638,18,76.0,-76.31578947368422,0.36231884057971014,164,368.0,-55.434782608695656,2.3163841807909606,0,0.0,0.0,0.0,INDIA
ANTWERP,3648993.63,18581589.7,-80.36231727794528,0.8698537828264161,280.5,1492.0,-81.19973190348524,2.4223843861997496,51,307.0,-83.38762214983714,1.0265700483091789,153,749.0,-79.57276368491321,2.1610169491525424,0,0.0,0.0,0.0,BELGIUM
YANTIAN,3543689.89,26193380.67,-86.47104803062444,0.8447512844740774,364.0,2690.0,-86.46840148698884,3.143486333606805,122,1001.0,-87.81218781218782,2.455716586151369,190,1406.0,-86.48648648648648,2.6836158192090394,0,1.0,-100.0,0.0,CHINA
KOLKATA,3477038.89,11149645.85,-68.81480419398252,0.8288628970561023,140.0,536.0,-73.88059701492537,1.2090332052333865,18,49.0,-63.26530612244898,0.36231884057971014,134,429.0,-68.76456876456876,1.8926553672316386,0,0.0,0.0,0.0,INDIA
NHAVA SHEVA,2990804.91,27190906.77,-89.00071654359175,0.7129535506093276,287.5,2214.5,-87.01738541431475,2.482836046461419,63,611.0,-89.68903436988543,1.2681159420289856,144,1157.0,-87.55401901469317,2.0338983050847457,0,0.0,0.0,0.0,INDIA
MUNDRA,2954364.79,29581518.86,-90.01280223648395,0.7042668880818712,194.5,1754.75,-88.91579997150592,1.679692560127812,45,440.0,-89.77272727272727,0.9057971014492754,131,1232.0,-89.36688311688312,1.8502824858757063,0,0.0,0.0,0.0,INDIA
NANSHA,2762606.29,19047705.87,-85.49638308752404,0.6585551457420745,273.0,1839.5,-85.15901060070671,2.3576147502051037,110,726.0,-84.84848484848484,2.214170692431562,138,928.0,-85.12931034482759,1.9491525423728815,0,0.0,0.0,0.0,CHINA
PUERTO QUETZAL,2734668.0,42247385.91,-93.52701252137662,0.651895165016868,144.0,1321.0,-89.0991672975019,1.2435770110971978,11,104.0,-89.42307692307693,0.22141706924315618,105,802.0,-86.9077306733167,1.4830508474576272,0,30.0,-100.0,0.0,GUATEMALA
SHANGHAI,2720558.33,28315061.18,-90.39183312123079,0.6485316760474634,411.0,2751.0,-85.05997818974919,3.549376052506585,132,863.0,-84.70451911935109,2.657004830917874,200,1452.0,-86.22589531680441,2.824858757062147,0,5.0,-100.0,0.0,CHINA
SAVANNAH - GA,2674963.38,12038930.540000001,-77.78072253916335,0.6376626683821139,202.0,1020.0,-80.19607843137256,1.744462196122458,48,294.0,-83.6734693877551,0.966183574879227,101,479.0,-78.91440501043841,1.426553672316384,0,4.0,-100.0,0.0,USA
ITAJAI,2538635.97,9987378.94,-74.58155953377693,0.6051646907708382,192.75,782.75,-75.37527946343022,1.6645796450623949,95,369.0,-74.25474254742548,1.9122383252818036,100,379.0,-73.61477572559367,1.4124293785310735,0,0.0,0.0,0.0,BRAZIL
CARTAGENA,2180624.94,18047054.99,-87.91700395877167,0.5198213659212737,133.25,1416.25,-90.59135039717565,1.1507405328382054,33,458.0,-92.79475982532752,0.6642512077294686,99,808.0,-87.74752475247524,1.3983050847457628,0,1.0,-100.0,0.0,COLOMBIA
