Shipping_Line,Period_kg,Prior_kg,YoY_Pct_kg,Share_kg,Period_teu,Prior_teu,YoY_Pct_teu,Share_teu,Period_shipment,Prior_shipment,YoY_Pct_shipment,Share_shipment,Period_container,Prior_container,YoY_Pct_container,Share_container,Period_vrac,Prior_vrac,YoY_Pct_vrac,Share_vrac
PRIVATE CARRIER - RVAM,101494928.0,850487825.0,-88.06626914382932,24.194546773844255,0.0,0.0,0.0,0.0,51,452,-88.71681415929203,1.0265700483091789,0,0,0.0,0.0,51,452,-88.71681415929203,3.2860824742268044
NYK LINE,41018345.0,520303970.0,-92.11646511173075,9.778028185686093,0.0,0.0,0.0,0.0,5,68,-92.64705882352942,0.10064412238325281,0,0,0.0,0.0,5,68,-92.64705882352942,0.3221649484536082
CMA/CGM,36323427.04,227846275.57,-84.05792372548984,8.65884504598692,2728.75,17465.5,-84.37634193123587,23.565352562718598,888,5075,-82.50246305418719,17.874396135265698,1763,10493,-83.19832269131801,24.901129943502827,3,0,0.0,0.19329896907216496
MEDITERRANEAN SHIPPING CO,34041657.32,244510890.92,-86.07765192302298,8.114912602213163,2249.0,17241.0,-86.95551302128646,19.42225484692776,431,4118,-89.53375424963575,8.675523349436393,1464,10854,-86.5118850193477,20.677966101694913,0,1,-100.0,0.0
PRIVATE CARRIER - MOS,33322477.0,315855310.7,-89.4500817712545,7.943473080712462,0.0,0.0,0.0,0.0,2,25,-92.0,0.040257648953301126,0,0,0.0,0.0,2,25,-92.0,0.12886597938144329
PRIVATE CARRIER - TSA,23801693.9,264999824.56,-91.01822277070568,5.67389137278144,0.0,3.0,-100.0,0.0,11,115,-90.43478260869566,0.22141706924315618,0,3,-100.0,0.0,11,114,-90.35087719298247,0.7087628865979382
MAERSK LINE,23584420.07,76544351.54,-69.18855592149681,5.622097239357677,1499.0,5580.0,-73.13620071684588,12.945291247463189,353,1655,-78.67069486404834,7.105475040257649,936,3005,-68.85191347753744,13.220338983050848,0,0,0.0,0.0
PRIVATE CARRIER - JHM,23005172.0,10617258.0,116.67714959926565,5.4840150238279115,0.0,0.0,0.0,0.0,7,8,-12.5,0.14090177133655393,0,0,0.0,0.0,7,8,-12.5,0.4510309278350515
PRIVATE CARRIER - ADE,15900372.0,78303080.0,-79.69381025625046,3.7903597909397355,0.0,0.0,0.0,0.0,9,40,-77.5,0.18115942028985507,0,0,0.0,0.0,9,40,-77.5,0.5798969072164949
EVERGREEN,14104555.36,210263323.03,-93.29195641125315,3.3622697321564257,1336.0,18280.0,-92.69146608315098,11.53763115851289,381,4949,-92.30147504546373,7.669082125603864,743,10366,-92.8323364846614,10.494350282485875,0,5,-100.0,0.0
PRIVATE CARRIER - QSA,13050213.0,350537768.62,-96.27708790086267,3.110933669878857,0.0,0.0,0.0,0.0,1,68,-98.52941176470588,0.020128824476650563,0,0,0.0,0.0,1,68,-98.52941176470588,0.06443298969072164
ACCORDIA SHIPPING,11072349.85,113021643.8,-90.20333674354151,2.639447030714603,414.0,2831.25,-85.37748344370861,3.5752839069044433,209,1676,-87.52983293556086,4.206924315619967,207,1412,-85.33994334277621,2.9237288135593222,2,282,-99.29078014184397,0.12886597938144329
COSCO SHIPPING,8817730.69,47442723.93,-81.41394515413947,2.101986787146319,849.0,4344.0,-80.45580110497238,7.331922794593894,292,1155,-74.71861471861472,5.877616747181964,474,2360,-79.91525423728814,6.694915254237288,0,16,-100.0,0.0
PRIVATE CARRIER - DEM,8323611.98,4551089.0,82.89275336078904,1.9841978643252045,0.0,0.0,0.0,0.0,12,17,-29.411764705882355,0.24154589371980675,0,0,0.0,0.0,12,17,-29.411764705882355,0.7731958762886598
ZIM LINES,6575202.99,71045754.78,-90.7451148765176,1.5674089279522974,639.25,6812.0,-90.61582501467997,5.520531974610303,271,2592,-89.54475308641975,5.4549114331723025,335,3688,-90.91648590021691,4.731638418079096,0,3,-100.0,0.0
SEABOARD MARINE,5977172.54,64822351.45,-90.7791488486646,1.4248493342875959,458.5,4686.5,-90.21657953696788,3.9595837471393414,151,1534,-90.15645371577575,3.0394524959742353,300,3141,-90.44890162368672,4.23728813559322,0,8,-100.0,0.0
HAPAG-LLOYD,5599698.37,63644414.73,-91.20158714043374,1.3348663504878238,426.75,4879.75,-91.25467493211742,3.685392288095341,102,1361,-92.50551065393094,2.0531400966183577,281,3004,-90.64580559254327,3.9689265536723166,0,0,0.0,0.0
KING OCEAN SERVICES,3216583.78,77760507.62,-95.86347378836723,0.7667751310410187,294.5,7456.25,-96.05029337803856,2.5432877067230883,116,3102,-96.26047711154094,2.3349436392914655,157,3996,-96.07107107107107,2.2175141242937855,0,34,-100.0,0.0
OCEAN NETWORK EXPRESS,2836269.0,24973837.49,-88.64303893570343,0.67611499742829,161.0,1583.0,-89.82943777637398,1.3903881860183946,34,515,-93.39805825242719,0.6843800322061192,123,1036,-88.12741312741312,1.7372881355932204,0,7,-100.0,0.0
ANTILLEAN MARINE SHIPPING CORP,2356420.07,49720022.43,-95.26062146629647,0.5617277308915412,344.5,5353.5,-93.56495750443635,2.975085280020726,176,3105,-94.3317230273752,3.542673107890499,194,2817,-93.11324103656372,2.7401129943502824,25,602,-95.84717607973423,1.610824742268041
PRIVATE CARRIER - APA,1851665.38,5781225.97,-67.97106029744069,0.44140338368354815,0.0,0.0,0.0,0.0,470,1387,-66.11391492429705,9.460547504025765,0,0,0.0,0.0,470,1388,-66.13832853025937,30.283505154639172
PRIVATE CARRIER - VIA,1127324.0,97791010.06,-98.8472110071178,0.268733559250145,0.0,0.0,0.0,0.0,484,3888,-87.55144032921811,9.742351046698873,0,0,0.0,0.0,484,3888,-87.55144032921811,31.185567010309278
CROWLEY LINER SERVICES INC,1023081.9,32171828.080000002,-96.81994477449042,0.24388413658486904,129.25,4095.25,-96.84390452353337,1.1161967269743944,37,1215,-96.95473251028807,0.7447665056360708,64,1905,-96.64041994750656,0.903954802259887,0,13,-100.0,0.0
PRIVATE CARRIER - MAS,389245.0,1296376.67,-69.97439023644262,0.09278893580756083,0.0,0.0,0.0,0.0,108,358,-69.83240223463687,2.1739130434782608,0,0,0.0,0.0,108,358,-69.83240223463687,6.958762886597938
NATIONAL SHIPPING OF AMERICA,310441.67,10285187.040000001,-96.98166237723568,0.07400365371327051,50.0,836.0,-94.01913875598086,0.43179757329763807,5,63,-92.06349206349206,0.10064412238325281,39,656,-94.0548780487805,0.5508474576271186,0,0,0.0,0.0
PRIVATE CARRIER - FAS,188168.0,281829.0,-33.233272658243116,0.04485583237559147,0.0,0.0,0.0,0.0,35,95,-63.1578947368421,0.7045088566827697,0,0,0.0,0.0,35,95,-63.1578947368421,2.2551546391752577
PRIVATE CARRIER - TCA,120847.0,5318345.3,-97.72773309773625,0.028807729130846386,0.0,0.0,0.0,0.0,36,355,-89.85915492957747,0.7246376811594203,0,0,0.0,0.0,36,355,-89.85915492957747,2.3195876288659796
AMERIJET,42149.0,2976097.0,-98.5837491183923,0.010047555794815298,0.0,0.0,0.0,0.0,102,3494,-97.08070978820835,2.0531400966183577,0,0,0.0,0.0,102,3690,-97.23577235772358,6.572164948453609
PRIVATE CARRIER - BCS,19836.0,109777.0,-81.93064120899642,0.004728541999714258,0.0,0.0,0.0,0.0,189,712,-73.45505617977528,3.804347826086957,0,0,0.0,0.0,189,712,-73.45505617977528,12.177835051546392
