country,hs_code,hs2,hs_description,metric,current_value,ytd_value,prior_value,prior_ytd,yoy_pct,mom_pct,trend_3m,trend_12m,is_ath,previous_high,previous_high_year,since_year,in_top_50
ARGENTINA,2205,22,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances",weight_kg,24578.95,24578.95,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,True
BANGLADESH,6305,63,"Sacks and bags, of a kind used for the packing of goods",weight_kg,19520.0,19520.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
BELGIUM,0203,02,"Meat of swine; fresh, chilled or frozen",weight_kg,258191.47,258191.47,27570.0,27570.0,836.49,0.0,stable,decreasing,True,171106.35,2024.0,2020,True
BELGIUM,1107,11,Malt; whether or not roasted,weight_kg,1890382.68,1890382.68,952254.48,952254.48,98.52,0.0,stable,decreasing,True,1078757.5,2024.0,2020,True
BELGIUM,1901,19,"Malt extract; flour/groats/meal/starch/malt extract products, no cocoa (or less than 40% by weight) ",weight_kg,58460.740000000005,58460.740000000005,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
BELGIUM,2106,21,Food preparations not elsewhere specified or included,weight_kg,120348.0,120348.0,20580.0,20580.0,484.78,0.0,stable,decreasing,True,20580.0,2025.0,2020,True
BELGIUM,2202,22,"Waters, including mineral and aerated waters, containing added sugar or sweetening matter, flavoured",weight_kg,177214.0,177214.0,17070.47,17070.47,938.13,0.0,stable,decreasing,True,142502.96,2024.0,2020,False
BELGIUM,2710,27,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weigh",weight_kg,25187.62,25187.62,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,True
BELGIUM,2806,28,Hydrogen chloride (hydrochloric acid); chlorosulphuric acid,weight_kg,11344.0,11344.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
BELGIUM,3203,32,"Colouring matter of vegetable or animal origin (including dyeing extracts, not animal black); whethe",weight_kg,10170.0,10170.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,True
BELGIUM,3401,34,"Soap; organic surface-active preparations used as soap, skin washing, in bars, cakes, moulded pieces",weight_kg,20734.8,20734.8,5106.96,5106.96,306.01,0.0,stable,decreasing,True,5106.96,2025.0,2020,True
BRAZIL,0203,02,"Meat of swine; fresh, chilled or frozen",weight_kg,1509104.04,1509104.04,577815.7,577815.7,161.17,0.0,stable,decreasing,True,1254999.36,2024.0,2020,True
BRAZIL,0402,04,Milk and cream; concentrated or containing added sugar or other sweetening matter,weight_kg,510325.06,510325.06,330052.5,330052.5,54.62,0.0,stable,decreasing,True,330052.5,2025.0,2020,True
BRAZIL,1507,15,"Soya-bean oil and its fractions; whether or not refined, but not chemically modified",weight_kg,22465.0,22465.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
BRAZIL,1601,16,"Sausages and similar products of meat, meat offal or blood; food preparations based on these product",weight_kg,1411593.45,1411593.45,981778.37,981778.37,43.78,0.0,stable,decreasing,True,981778.37,2025.0,2020,True
BRAZIL,1602,16,"Prepared or preserved meat, meat offal or blood",weight_kg,57834.0,57834.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
BRAZIL,2205,22,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances",weight_kg,501434.26,501434.26,389120.43,389120.43,28.86,0.0,stable,decreasing,True,389120.43,2025.0,2020,True
BRAZIL,4421,44,Wooden articles n.e.c. in heading no. 4414 to 4420,weight_kg,286464.0,286464.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
BRAZIL,7010,70,"Carboys, bottles, flasks, jars, pots, phials, ampoules, containers of glass of a kind used for the c",weight_kg,27804.21,27804.21,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,True
CAMBODIA,3401,34,"Soap; organic surface-active preparations used as soap, skin washing, in bars, cakes, moulded pieces",weight_kg,13436.0,13436.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,True
CANADA,4813,48,"Cigarette paper, whether or not cut to size or in the form of booklets or tubes",weight_kg,12550.0,12550.0,12148.8,12148.8,3.3,0.0,stable,decreasing,True,12148.8,2025.0,2020,False
CHILE,2005,20,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not ",weight_kg,68634.0,68634.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,0302,03,"Fish; fresh or chilled, excluding fish fillets and other fish meat of heading 0304",weight_kg,361477.78,361477.78,140000.0,140000.0,158.2,0.0,stable,decreasing,True,228060.0,2022.0,2020,False
CHINA,0712,07,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",weight_kg,16640.0,16640.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,1301,13,"Lac; natural gums, resins, gum-resins and oleoresins (for example, balsams)",weight_kg,22272.0,22272.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,1904,19,Prepared foods obtained by swelling or roasting cereals or cereal products (e.g. corn flakes); cerea,weight_kg,56190.0,56190.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,1905,19,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafe",weight_kg,51180.7,51180.7,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,True
CHINA,2106,21,Food preparations not elsewhere specified or included,weight_kg,90076.0,90076.0,57307.0,57307.0,57.18,0.0,stable,decreasing,True,61717.0,2024.0,2020,True
CHINA,2827,28,Chlorides; chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide ,weight_kg,225892.8,225892.8,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,2835,28,"Phosphinates (hypophosphites), phosphonates (phosphites), and phosphates; and polyphosphates, whethe",weight_kg,27216.0,27216.0,0.0,0.0,0.0,0.0,stable,decreasing,True,27108.0,2021.0,2020,False
CHINA,2836,28,Carbonates; peroxocarbonates (percarbonates); commercial ammonium carbonate containing ammonium carb,weight_kg,297396.0,297396.0,168496.0,168496.0,76.5,0.0,stable,decreasing,True,243420.0,2024.0,2020,False
CHINA,2912,29,"Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde",weight_kg,23115.46,23115.46,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,2915,29,"Acids; saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyaci",weight_kg,165472.0,165472.0,0.0,0.0,0.0,0.0,stable,decreasing,True,28782.0,2024.0,2020,False
CHINA,2936,29,"Provitamins, vitamins; natural or reproduced by synthesis (including natural concentrates) derivativ",weight_kg,26500.0,26500.0,20160.0,20160.0,31.45,0.0,stable,decreasing,True,20160.0,2024.0,2020,False
CHINA,3005,30,"Wadding, gauze, bandages (dressings, adhesive plasters, poultices), impregnated or coated with pharm",weight_kg,29000.0,29000.0,0.0,0.0,0.0,0.0,stable,decreasing,True,6947.0,2024.0,2020,False
CHINA,3006,30,Pharmaceutical goods,weight_kg,27477.0,27477.0,2630.0,2630.0,944.75,0.0,stable,decreasing,True,13931.3,2024.0,2020,False
CHINA,3209,32,Paints and varnishes (including enamels and lacquers) based on synthetic or chemically modified natu,weight_kg,21410.0,21410.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,3214,32,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fill",weight_kg,56000.0,56000.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,3306,33,Oral or dental hygiene preparations; including fixative pastes and powders; yarn used to clean betwe,weight_kg,442022.8,442022.8,225500.8,225500.8,96.02,0.0,stable,decreasing,True,239830.53999999998,2021.0,2020,True
CHINA,3402,34,"Organic surface-active agents (not soap); surface-active, washing (including auxiliary washing) and ",weight_kg,55055.0,55055.0,0.0,0.0,0.0,0.0,stable,decreasing,True,50483.5,2022.0,2020,False
CHINA,3504,35,Peptones and their derivatives; other protein substances and their derivatives n.e.c. or included; h,weight_kg,26480.0,26480.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,3808,38,"Insecticides, rodenticides, fungicides, herbicides, anti-sprouting products, plant growth regulators",weight_kg,389548.0,389548.0,317029.75,317029.75,22.87,0.0,stable,decreasing,True,383442.41000000003,2023.0,2020,False
CHINA,3822,38,Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reage,weight_kg,5650.98,5650.98,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,3912,39,"Cellulose and its chemical derivatives, n.e.c. or included, in primary forms",weight_kg,33363.5,33363.5,3677.0,3677.0,807.36,0.0,stable,decreasing,True,16406.0,2022.0,2020,False
CHINA,3917,39,"Tubes, pipes and hoses and fittings thereof (for example, joints, elbows, flanges), of plastics",weight_kg,149004.99,149004.99,0.0,0.0,0.0,0.0,stable,decreasing,True,112387.97,2021.0,2020,False
CHINA,3926,39,"Articles of plastics and articles of other materials of heading no. 3901 to 3914, n.e.c. in chapter ",weight_kg,168204.3,168204.3,153866.7,153866.7,9.32,0.0,stable,decreasing,True,153866.7,2025.0,2020,False
CHINA,4013,40,"Inner tubes, of rubber",weight_kg,11188.0,11188.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,4202,42,"Trunks; suit, camera, jewellery, cutlery cases; travel, tool, similar bags; wholly or mainly covered",weight_kg,102850.0,102850.0,30060.0,30060.0,242.15,0.0,stable,decreasing,True,45373.0,2024.0,2020,False
CHINA,4203,42,"Articles of apparel and clothing accessories, of leather or of composition leather",weight_kg,27288.0,27288.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,4420,44,"Wood marquetry and inlaid wood; caskets and cases for jewellery or cutlery, and similar articles of ",weight_kg,91315.99,91315.99,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,4802,48,"Uncoated paper and paperboard, used for writing, printing or other graphics, non perforated punch-ca",weight_kg,18030.0,18030.0,0.0,0.0,0.0,0.0,stable,decreasing,True,13690.0,2024.0,2020,False
CHINA,4820,48,"Registers, account books, diaries and similar; albums for samples or collections, of paper or paperb",weight_kg,1392286.38,1392286.38,26100.0,26100.0,5234.43,0.0,stable,decreasing,True,1059684.49,2024.0,2020,True
CHINA,5601,56,"Wadding of textile materials and articles thereof; textile fibres, not exceeding 5 mm in length (flo",weight_kg,16654.0,16654.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,5703,57,"Carpets and other textile floor coverings; tufted, whether or not made up",weight_kg,25578.0,25578.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,6204,62,"Suits, ensembles, jackets, dresses, skirts, divided skirts, trousers, bib and brace overalls, breech",weight_kg,147119.0,147119.0,0.0,0.0,0.0,0.0,stable,decreasing,True,18670.0,2021.0,2020,False
CHINA,6211,62,"Track suits, swimwear and other garments (not knitted or crocheted)",weight_kg,38355.0,38355.0,0.0,0.0,0.0,0.0,stable,decreasing,True,27509.0,2023.0,2020,False
CHINA,6212,62,"Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof; wh",weight_kg,13750.0,13750.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,6309,63,Textiles; worn clothing and other worn articles,weight_kg,2326837.32,2326837.32,1022788.0,1022788.0,127.5,0.0,stable,decreasing,True,1999746.1,2022.0,2020,True
CHINA,6404,64,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified",weight_kg,17440.0,17440.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,6405,64,Footwear; other footwear n.e.c. in chapter 64,weight_kg,827851.0,827851.0,517028.0,517028.0,60.12,0.0,stable,decreasing,True,517028.0,2025.0,2020,True
CHINA,6901,69,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite ",weight_kg,767951.58,767951.58,135000.0,135000.0,468.85,0.0,stable,decreasing,True,473641.47000000003,2021.0,2020,True
CHINA,7020,70,Glass; articles n.e.c. in chapter 70,weight_kg,13330.0,13330.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,7214,72,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot",weight_kg,854467.0,854467.0,0.0,0.0,0.0,0.0,stable,decreasing,True,25820.0,2021.0,2020,True
CHINA,7217,72,Wire of iron or non-alloy steel,weight_kg,4761493.0,4761493.0,84150.0,84150.0,5558.34,0.0,stable,decreasing,True,448550.0,2024.0,2020,True
CHINA,7228,72,"Alloy steel bars, rods, shapes and sections; hollow drill bars and rods, of alloy or non-alloy steel",weight_kg,1040742.0,1040742.0,52942.0,52942.0,1865.82,0.0,stable,decreasing,True,82040.01,2024.0,2020,True
CHINA,7308,73,"Structures of iron or steel and parts thereof; plates, rods, angles, shapes, sections, tubes and the",weight_kg,726828.05,726828.05,136450.0,136450.0,432.67,0.0,stable,decreasing,True,362108.0,2023.0,2020,True
CHINA,7313,73,"Barbed wire of iron or steel; twisted hoop or single flat wire, barbed or not and loosely twisted do",weight_kg,256916.0,256916.0,0.0,0.0,0.0,0.0,stable,decreasing,True,53890.0,2021.0,2020,False
CHINA,7321,73,"Stoves, ranges, grates, cookers (those with subsidiary boilers for central heating), barbecues, braz",weight_kg,351681.3,351681.3,103780.55,103780.55,238.87,0.0,stable,decreasing,True,103780.55,2025.0,2020,False
CHINA,7323,73,"Table, kitchen, other household articles and parts, of iron or steel; iron or steel wool; pot scoure",weight_kg,57807.5,57807.5,18640.0,18640.0,210.13,0.0,stable,decreasing,True,37316.0,2021.0,2020,False
CHINA,7326,73,"Iron or steel; articles, n.e.c. in chapter 73",weight_kg,1768748.95,1768748.95,1609267.98,1609267.98,9.91,0.0,stable,decreasing,True,1609267.98,2025.0,2020,True
CHINA,7609,76,"Aluminium; tube or pipe fittings (e.g. couplings, elbows, sleeves)",weight_kg,26630.0,26630.0,24400.0,24400.0,9.14,0.0,stable,decreasing,True,24400.0,2025.0,2020,False
CHINA,7610,76,Aluminium; structures (excluding prefabricated buildings of heading no. 9406) and parts (e.g. bridge,weight_kg,9875.0,9875.0,0.0,0.0,0.0,0.0,stable,decreasing,True,0.0,,2020,False
CHINA,8112,81,"Beryllium, chromium, germanium, vanadium, gallium, hafnium, indium, niobium (columbium), rhenium and",weight_kg,56290.0,56290.0,27738.0,27738.0,102.93,0.0,stable,decreasing,True,54370.0,2022.0,2020,False
CHINA,8201,82,"Tools, hand; spades, shovels, mattocks, picks, hoes, forks, rakes; axes, bill hooks etc; secateurs a",weight_kg,90825.0,90825.0,43165.0,43165.0,110.41,0.0,stable,decreasing,True,43165.0,2025.0,2020,False
